condition,condition_order,intensity_group,intensity_log_cd_s_m2,n,a_wave_uv_mean,a_wave_uv_sem,a_wave_uv_sd,b_wave_uv_mean,b_wave_uv_sem,b_wave_uv_sd,a_implicit_ms_mean,b_implicit_ms_mean
Control,1,Group1,-1.7,5,50.99,5.24,11.72,154.02,6.29,14.06,32.64,118.72
Control,1,Group2,-0.8,5,94.7,1.53,3.43,209.32,11.91,26.64,31.64,120.0
Control,1,Group3,0.1,5,192.57,8.31,18.59,271.66,10.26,22.93,34.72,108.8
Control,1,Group4,1.0,5,86.58,7.41,16.58,274.53,10.85,24.27,30.36,104.92
Control,1,Group5,1.9,5,39.73,2.86,6.4,245.45,9.68,21.65,13.8,94.16
Control,1,Group6,2.8,5,176.66,9.49,21.23,250.2,9.4,21.01,17.12,91.68
Control,1,Group7,3.1,5,90.62,5.07,11.34,299.08,13.16,29.42,8.52,93.0
Untreated,2,Group1,-1.7,5,78.22,11.38,25.44,73.84,8.33,18.64,19.76,102.04
Untreated,2,Group2,-0.8,5,50.0,7.64,17.09,66.34,7.55,16.88,17.24,63.68
Untreated,2,Group3,0.1,5,104.34,15.33,34.28,36.16,4.46,9.97,30.4,72.36
Untreated,2,Group4,1.0,5,26.94,6.42,14.36,45.24,4.86,10.86,25.04,106.08
Untreated,2,Group5,1.9,5,35.96,4.66,10.43,27.3,2.72,6.08,7.0,75.44
Untreated,2,Group6,2.8,5,59.12,12.4,27.73,39.25,3.68,8.23,19.6,55.12
Untreated,2,Group7,3.1,5,213.88,21.94,49.06,65.06,6.73,15.06,37.32,47.2
AAV8-RK-PDE6B,3,Group1,-1.7,5,24.46,4.3,9.62,20.77,2.0,4.48,19.12,52.96
AAV8-RK-PDE6B,3,Group2,-0.8,5,33.05,4.0,8.94,32.83,3.81,8.52,12.04,116.8
AAV8-RK-PDE6B,3,Group3,0.1,5,32.0,2.9,6.49,51.63,5.56,12.44,13.36,117.48
AAV8-RK-PDE6B,3,Group4,1.0,5,58.25,7.77,17.38,69.24,7.17,16.02,4.04,54.0
AAV8-RK-PDE6B,3,Group5,1.9,5,71.07,6.94,15.52,43.86,4.14,9.25,19.44,110.04
AAV8-RK-PDE6B,3,Group6,2.8,5,92.87,10.04,22.45,31.46,4.67,10.44,30.64,120.0
AAV8-RK-PDE6B,3,Group7,3.1,5,70.57,16.65,37.24,37.29,3.99,8.92,27.96,50.12
AAV8-RK-GFP-polyA-stuffer,4,Group1,-1.7,5,74.34,12.87,28.77,55.99,8.61,19.26,20.08,67.08
AAV8-RK-GFP-polyA-stuffer,4,Group2,-0.8,5,58.35,6.83,15.28,66.58,13.27,29.68,7.6,101.44
AAV8-RK-GFP-polyA-stuffer,4,Group3,0.1,5,68.72,9.32,20.84,139.64,25.81,57.71,26.84,57.4
AAV8-RK-GFP-polyA-stuffer,4,Group4,1.0,5,88.51,19.02,42.52,33.75,5.22,11.68,10.64,41.68
AAV8-RK-GFP-polyA-stuffer,4,Group5,1.9,5,33.03,3.98,8.91,23.02,3.72,8.31,23.96,81.92
AAV8-RK-GFP-polyA-stuffer,4,Group6,2.8,5,96.1,12.19,27.26,56.31,8.75,19.57,12.08,62.32
AAV8-RK-GFP-polyA-stuffer,4,Group7,3.1,5,40.22,7.64,17.08,51.09,6.25,13.98,9.4,55.84
AAV8-CMV-GFP,5,Group1,-1.7,5,126.21,20.47,45.78,145.51,24.33,54.41,15.64,85.52
AAV8-CMV-GFP,5,Group2,-0.8,5,73.2,10.93,24.45,48.15,9.19,20.56,10.32,70.52
AAV8-CMV-GFP,5,Group3,0.1,5,51.06,6.37,14.23,42.75,7.28,16.28,10.2,62.32
AAV8-CMV-GFP,5,Group4,1.0,5,103.82,17.3,38.69,51.13,8.54,19.09,14.28,102.68
AAV8-CMV-GFP,5,Group5,1.9,5,31.93,5.26,11.75,48.01,10.8,24.14,5.96,119.28
AAV8-CMV-GFP,5,Group6,2.8,5,184.15,35.67,79.76,96.46,15.94,35.64,18.8,74.68
AAV8-CMV-GFP,5,Group7,3.1,5,60.79,7.69,17.19,125.07,23.43,52.38,9.88,117.28
AAV8-RK-PDE6B-3UTR,6,Group1,-1.7,5,65.52,12.76,28.54,41.99,7.82,17.48,23.04,120.0
AAV8-RK-PDE6B-3UTR,6,Group2,-0.8,5,31.97,5.95,13.3,31.23,6.24,13.94,8.52,41.08
AAV8-RK-PDE6B-3UTR,6,Group3,0.1,5,32.97,7.06,15.8,13.06,2.52,5.63,16.2,41.96
AAV8-RK-PDE6B-3UTR,6,Group4,1.0,5,71.39,14.78,33.04,108.95,22.8,50.98,23.52,120.0
AAV8-RK-PDE6B-3UTR,6,Group5,1.9,5,30.56,6.81,15.24,99.7,19.08,42.67,2.48,119.56
AAV8-RK-PDE6B-3UTR,6,Group6,2.8,5,45.56,9.24,20.67,166.06,34.33,76.77,25.8,116.68
AAV8-RK-PDE6B-3UTR,6,Group7,3.1,5,83.7,17.52,39.18,85.38,16.66,37.24,31.92,119.84
