condition,condition_order,intensity_group,intensity_log_cd_s_m2,time_ms,mean_uv,sd_uv,n,sem_uv
AAV8-CMV-GFP,5,Group1,-1.7,0.0,-35.0206,41.1229,5,18.3907
AAV8-CMV-GFP,5,Group1,-1.7,0.2,-33.9133,40.7928,5,18.2431
AAV8-CMV-GFP,5,Group1,-1.7,0.4,-33.2152,41.7779,5,18.6836
AAV8-CMV-GFP,5,Group1,-1.7,0.6,-32.6603,42.0168,5,18.7905
AAV8-CMV-GFP,5,Group1,-1.7,0.8,-33.3331,42.0679,5,18.8133
AAV8-CMV-GFP,5,Group1,-1.7,1.0,-34.8323,42.3064,5,18.92
AAV8-CMV-GFP,5,Group1,-1.7,1.2,-41.641,35.0621,5,15.6803
AAV8-CMV-GFP,5,Group1,-1.7,1.4,-47.212,18.1798,5,8.1302
AAV8-CMV-GFP,5,Group1,-1.7,1.6,-36.1153,16.1469,5,7.2211
AAV8-CMV-GFP,5,Group1,-1.7,1.8,-28.4099,15.4033,5,6.8886
AAV8-CMV-GFP,5,Group1,-1.7,2.0,-17.1987,23.4808,5,10.5009
AAV8-CMV-GFP,5,Group1,-1.7,2.2,5.9418,52.6314,5,23.5375
AAV8-CMV-GFP,5,Group1,-1.7,2.4,22.6158,54.8207,5,24.5166
AAV8-CMV-GFP,5,Group1,-1.7,2.6,23.181,64.7494,5,28.9568
AAV8-CMV-GFP,5,Group1,-1.7,2.8,16.6375,65.3384,5,29.2202
AAV8-CMV-GFP,5,Group1,-1.7,3.0,5.8885,57.9716,5,25.9257
AAV8-CMV-GFP,5,Group1,-1.7,3.2,-1.4557,49.6673,5,22.2119
AAV8-CMV-GFP,5,Group1,-1.7,3.4,-3.8998,47.0427,5,21.0381
AAV8-CMV-GFP,5,Group1,-1.7,3.6,-2.7059,42.1701,5,18.859
AAV8-CMV-GFP,5,Group1,-1.7,3.8,1.0848,36.858,5,16.4834
AAV8-CMV-GFP,5,Group1,-1.7,4.0,1.9831,33.9853,5,15.1987
AAV8-CMV-GFP,5,Group1,-1.7,4.2,7.1005,39.1506,5,17.5087
AAV8-CMV-GFP,5,Group1,-1.7,4.4,21.7395,48.7258,5,21.7908
AAV8-CMV-GFP,5,Group1,-1.7,4.6,26.5938,47.2775,5,21.1432
AAV8-CMV-GFP,5,Group1,-1.7,4.8,23.8927,41.4159,5,18.5217
AAV8-CMV-GFP,5,Group1,-1.7,5.0,35.7297,47.0985,5,21.0631
AAV8-CMV-GFP,5,Group1,-1.7,5.2,40.3337,49.5437,5,22.1566
AAV8-CMV-GFP,5,Group1,-1.7,5.4,43.4067,49.9044,5,22.3179
AAV8-CMV-GFP,5,Group1,-1.7,5.6,44.0743,45.2494,5,20.2361
AAV8-CMV-GFP,5,Group1,-1.7,5.8,42.8538,40.7855,5,18.2398
AAV8-CMV-GFP,5,Group1,-1.7,6.0,41.7216,39.6764,5,17.7438
AAV8-CMV-GFP,5,Group1,-1.7,6.2,46.3441,33.3997,5,14.9368
AAV8-CMV-GFP,5,Group1,-1.7,6.4,53.8129,25.6376,5,11.4655
AAV8-CMV-GFP,5,Group1,-1.7,6.6,53.6141,27.832,5,12.4469
AAV8-CMV-GFP,5,Group1,-1.7,6.8,49.5013,21.0619,5,9.4192
AAV8-CMV-GFP,5,Group1,-1.7,7.0,37.1265,13.684,5,6.1197
AAV8-CMV-GFP,5,Group1,-1.7,7.2,28.3046,4.4139,5,1.974
AAV8-CMV-GFP,5,Group1,-1.7,7.4,19.28,9.3314,5,4.1731
AAV8-CMV-GFP,5,Group1,-1.7,7.6,5.1672,21.1835,5,9.4736
AAV8-CMV-GFP,5,Group1,-1.7,7.8,0.5611,27.9834,5,12.5146
AAV8-CMV-GFP,5,Group1,-1.7,8.0,-9.8391,44.6253,5,19.957
AAV8-CMV-GFP,5,Group1,-1.7,8.2,-30.8559,71.0391,5,31.7697
AAV8-CMV-GFP,5,Group1,-1.7,8.4,-42.1941,76.825,5,34.3572
AAV8-CMV-GFP,5,Group1,-1.7,8.6,-44.7776,84.9812,5,38.0047
AAV8-CMV-GFP,5,Group1,-1.7,8.8,-48.4407,83.4326,5,37.3122
AAV8-CMV-GFP,5,Group1,-1.7,9.0,-51.1387,81.3777,5,36.3932
AAV8-CMV-GFP,5,Group1,-1.7,9.2,-48.1917,86.3115,5,38.5997
AAV8-CMV-GFP,5,Group1,-1.7,9.4,-49.2498,85.4851,5,38.2301
AAV8-CMV-GFP,5,Group1,-1.7,9.6,-45.3263,78.7998,5,35.2403
AAV8-CMV-GFP,5,Group1,-1.7,9.8,-37.2901,64.3731,5,28.7885
AAV8-CMV-GFP,5,Group1,-1.7,10.0,-30.3954,57.9144,5,25.9001
