condition,condition_order,intensity_group,intensity_log_cd_s_m2,animal,a_wave_uv,b_wave_uv,a_implicit_ms,b_implicit_ms
Control,1,Group1,-1.7,an1,59.07,175.44,33.4,118.0
Control,1,Group1,-1.7,an2,41.1,143.21,31.6,116.6
Control,1,Group1,-1.7,an3,62.25,141.78,36.8,120.0
Control,1,Group1,-1.7,an4,56.64,160.5,34.4,119.0
Control,1,Group1,-1.7,an5,35.9,149.17,27.0,120.0
Control,1,Group2,-0.8,an1,100.25,248.56,29.8,120.0
Control,1,Group2,-0.8,an2,93.02,192.9,32.2,120.0
Control,1,Group2,-0.8,an3,92.56,186.65,33.4,120.0
Control,1,Group2,-0.8,an4,91.93,225.28,30.0,120.0
Control,1,Group2,-0.8,an5,95.74,193.19,32.8,120.0
Control,1,Group3,0.1,an1,220.75,308.42,32.2,105.8
Control,1,Group3,0.1,an2,184.69,253.44,32.2,105.8
Control,1,Group3,0.1,an3,172.8,256.17,38.0,110.6
Control,1,Group3,0.1,an4,200.52,279.51,35.2,109.2
Control,1,Group3,0.1,an5,184.07,260.75,36.0,112.6
Control,1,Group4,1.0,an1,72.29,313.63,27.4,97.4
Control,1,Group4,1.0,an2,76.04,256.25,32.4,96.8
Control,1,Group4,1.0,an3,78.54,256.58,28.2,114.0
Control,1,Group4,1.0,an4,112.48,282.24,33.0,101.6
Control,1,Group4,1.0,an5,93.55,263.97,30.8,114.8
Control,1,Group5,1.9,an1,49.81,279.47,15.8,96.0
Control,1,Group5,1.9,an2,35.86,228.61,13.2,94.0
Control,1,Group5,1.9,an3,34.69,229.16,10.8,91.0
Control,1,Group5,1.9,an4,42.42,254.18,15.0,95.6
Control,1,Group5,1.9,an5,35.89,235.85,14.2,94.2
Control,1,Group6,2.8,an1,186.48,283.7,17.2,92.4
Control,1,Group6,2.8,an2,173.37,235.53,16.0,91.2
Control,1,Group6,2.8,an3,203.89,234.69,14.6,89.2
Control,1,Group6,2.8,an4,145.93,258.09,19.0,94.6
Control,1,Group6,2.8,an5,173.62,238.99,18.8,91.0
Control,1,Group7,3.1,an1,89.19,344.96,7.4,91.0
Control,1,Group7,3.1,an2,87.98,277.9,8.8,94.0
Control,1,Group7,3.1,an3,85.02,278.28,9.0,93.8
Control,1,Group7,3.1,an4,80.83,312.46,7.8,92.8
Control,1,Group7,3.1,an5,110.06,281.82,9.6,93.4
Untreated,2,Group1,-1.7,an1,71.53,93.72,26.0,116.0
Untreated,2,Group1,-1.7,an2,87.78,81.77,8.0,118.2
Untreated,2,Group1,-1.7,an3,117.39,80.45,29.4,119.6
Untreated,2,Group1,-1.7,an4,61.34,44.48,29.2,40.0
Untreated,2,Group1,-1.7,an5,53.05,68.8,6.2,116.4
Untreated,2,Group2,-0.8,an1,49.15,76.67,23.2,73.6
Untreated,2,Group2,-0.8,an2,78.35,68.26,19.2,49.6
Untreated,2,Group2,-0.8,an3,46.94,86.44,1.6,72.0
Untreated,2,Group2,-0.8,an4,43.06,43.03,19.8,50.2
Untreated,2,Group2,-0.8,an5,32.51,57.31,22.4,73.0
Untreated,2,Group3,0.1,an1,131.63,42.82,18.2,48.4
Untreated,2,Group3,0.1,an2,114.06,41.89,39.2,49.4
Untreated,2,Group3,0.1,an3,131.25,44.07,36.0,106.0
Untreated,2,Group3,0.1,an4,48.98,20.94,21.8,51.4
Untreated,2,Group3,0.1,an5,95.76,31.07,36.8,106.6
Untreated,2,Group4,1.0,an1,21.74,53.32,24.8,114.0
Untreated,2,Group4,1.0,an2,20.17,53.53,28.2,98.8
Untreated,2,Group4,1.0,an3,52.28,51.82,33.2,103.8
Untreated,2,Group4,1.0,an4,17.06,29.79,9.8,100.0
Untreated,2,Group4,1.0,an5,23.47,37.75,29.2,113.8
Untreated,2,Group5,1.9,an1,46.57,29.83,8.8,77.4
Untreated,2,Group5,1.9,an2,38.67,31.15,7.0,75.4
Untreated,2,Group5,1.9,an3,43.33,33.58,6.6,74.8
Untreated,2,Group5,1.9,an4,20.78,19.09,5.6,74.2
Untreated,2,Group5,1.9,an5,30.44,22.87,7.0,75.4
Untreated,2,Group6,2.8,an1,104.25,41.7,14.6,46.4
Untreated,2,Group6,2.8,an2,55.72,45.59,20.4,51.4
Untreated,2,Group6,2.8,an3,62.37,47.38,18.8,50.2
Untreated,2,Group6,2.8,an4,34.83,28.03,20.8,52.2
Untreated,2,Group6,2.8,an5,38.43,33.54,23.4,75.4
Untreated,2,Group7,3.1,an1,253.37,74.61,37.2,47.2
Untreated,2,Group7,3.1,an2,230.32,73.46,38.0,47.8
Untreated,2,Group7,3.1,an3,255.85,78.74,38.2,47.8
Untreated,2,Group7,3.1,an4,139.97,43.86,38.2,48.4
Untreated,2,Group7,3.1,an5,189.91,54.63,35.0,44.8
AAV8-RK-PDE6B,3,Group1,-1.7,an1,36.09,26.24,29.6,40.0
AAV8-RK-PDE6B,3,Group1,-1.7,an2,30.43,23.28,8.8,58.4
AAV8-RK-PDE6B,3,Group1,-1.7,an3,12.98,14.26,7.2,56.2
AAV8-RK-PDE6B,3,Group1,-1.7,an4,26.34,20.55,25.6,55.6
AAV8-RK-PDE6B,3,Group1,-1.7,an5,16.48,19.51,24.4,54.6
AAV8-RK-PDE6B,3,Group2,-0.8,an1,43.75,40.35,12.6,119.0
AAV8-RK-PDE6B,3,Group2,-0.8,an2,37.35,39.54,7.6,115.8
AAV8-RK-PDE6B,3,Group2,-0.8,an3,21.83,20.4,19.6,117.8
AAV8-RK-PDE6B,3,Group2,-0.8,an4,36.35,35.96,4.8,120.0
AAV8-RK-PDE6B,3,Group2,-0.8,an5,25.96,27.91,15.6,111.4
AAV8-RK-PDE6B,3,Group3,0.1,an1,31.04,63.31,11.8,116.0
AAV8-RK-PDE6B,3,Group3,0.1,an2,37.11,59.61,12.2,116.8
AAV8-RK-PDE6B,3,Group3,0.1,an3,21.51,32.71,14.8,118.2
AAV8-RK-PDE6B,3,Group3,0.1,an4,32.81,56.76,11.8,116.8
AAV8-RK-PDE6B,3,Group3,0.1,an5,37.55,45.77,16.2,119.6
AAV8-RK-PDE6B,3,Group4,1.0,an1,67.97,82.77,3.6,53.6
AAV8-RK-PDE6B,3,Group4,1.0,an2,77.84,78.08,2.8,52.8
AAV8-RK-PDE6B,3,Group4,1.0,an3,33.01,43.54,5.8,55.8
AAV8-RK-PDE6B,3,Group4,1.0,an4,62.72,77.96,4.0,53.8
AAV8-RK-PDE6B,3,Group4,1.0,an5,49.72,63.84,4.0,54.0
AAV8-RK-PDE6B,3,Group5,1.9,an1,71.06,51.61,22.6,113.6
AAV8-RK-PDE6B,3,Group5,1.9,an2,67.74,50.01,21.6,112.2
AAV8-RK-PDE6B,3,Group5,1.9,an3,50.08,29.31,18.0,108.8
AAV8-RK-PDE6B,3,Group5,1.9,an4,93.63,48.2,17.0,107.4
AAV8-RK-PDE6B,3,Group5,1.9,an5,72.85,40.15,18.0,108.2
AAV8-RK-PDE6B,3,Group6,2.8,an1,122.53,32.08,32.0,120.0
AAV8-RK-PDE6B,3,Group6,2.8,an2,109.46,37.72,30.6,120.0
AAV8-RK-PDE6B,3,Group6,2.8,an3,67.53,15.5,32.2,120.0
AAV8-RK-PDE6B,3,Group6,2.8,an4,82.48,43.07,28.4,120.0
AAV8-RK-PDE6B,3,Group6,2.8,an5,82.34,28.91,30.0,120.0
AAV8-RK-PDE6B,3,Group7,3.1,an1,127.91,43.18,35.6,46.2
AAV8-RK-PDE6B,3,Group7,3.1,an2,65.14,44.87,20.6,50.6
AAV8-RK-PDE6B,3,Group7,3.1,an3,37.42,22.99,21.8,51.4
AAV8-RK-PDE6B,3,Group7,3.1,an4,83.05,40.96,39.0,49.6
AAV8-RK-PDE6B,3,Group7,3.1,an5,39.34,34.44,22.8,52.8
AAV8-RK-GFP-polyA-stuffer,4,Group1,-1.7,an1,67.25,62.8,21.4,72.2
