sample_id,condition,condition_order,intensity_group,intensity_log_cd_s_m2,time_ms,voltage_uv,role
an1,Control,1,Group1,-1.7,0.0,12.5552,replicate
an1,Control,1,Group1,-1.7,0.2,10.0787,replicate
an1,Control,1,Group1,-1.7,0.4,8.4259,replicate
an1,Control,1,Group1,-1.7,0.6,9.9082,replicate
an1,Control,1,Group1,-1.7,0.8,-28.5608,replicate
an1,Control,1,Group1,-1.7,1.0,-36.5688,replicate
an1,Control,1,Group1,-1.7,1.2,-35.0743,replicate
an1,Control,1,Group1,-1.7,1.4,-30.9776,replicate
an1,Control,1,Group1,-1.7,1.6,7.1757,replicate
an1,Control,1,Group1,-1.7,1.8,15.047,replicate
an1,Control,1,Group1,-1.7,2.0,55.7464,replicate
an1,Control,1,Group1,-1.7,2.2,60.4162,replicate
an1,Control,1,Group1,-1.7,2.4,57.4916,replicate
an1,Control,1,Group1,-1.7,2.6,57.3354,replicate
an1,Control,1,Group1,-1.7,2.8,55.993,replicate
an1,Control,1,Group1,-1.7,3.0,55.5936,replicate
an1,Control,1,Group1,-1.7,3.2,54.9599,replicate
an1,Control,1,Group1,-1.7,3.4,53.3676,replicate
an1,Control,1,Group1,-1.7,3.6,12.3047,replicate
an1,Control,1,Group1,-1.7,3.8,13.1273,replicate
an1,Control,1,Group1,-1.7,4.0,11.7237,replicate
an1,Control,1,Group1,-1.7,4.2,12.0853,replicate
an1,Control,1,Group1,-1.7,4.4,11.9934,replicate
an1,Control,1,Group1,-1.7,4.6,13.4666,replicate
an1,Control,1,Group1,-1.7,4.8,11.9833,replicate
an1,Control,1,Group1,-1.7,5.0,13.7316,replicate
an1,Control,1,Group1,-1.7,5.2,50.515,replicate
an1,Control,1,Group1,-1.7,5.4,18.1301,replicate
an1,Control,1,Group1,-1.7,5.6,14.1279,replicate
an1,Control,1,Group1,-1.7,5.8,12.4412,replicate
an1,Control,1,Group1,-1.7,6.0,11.6706,replicate
an1,Control,1,Group1,-1.7,6.2,11.3234,replicate
an1,Control,1,Group1,-1.7,6.4,9.8795,replicate
an1,Control,1,Group1,-1.7,6.6,10.0922,replicate
an1,Control,1,Group1,-1.7,6.8,9.0761,replicate
an1,Control,1,Group1,-1.7,7.0,8.5989,replicate
an1,Control,1,Group1,-1.7,7.2,0.8869,replicate
an1,Control,1,Group1,-1.7,7.4,-34.1954,replicate
an1,Control,1,Group1,-1.7,7.6,-35.3575,replicate
an1,Control,1,Group1,-1.7,7.8,-35.8057,replicate
an1,Control,1,Group1,-1.7,8.0,-34.6113,replicate
an1,Control,1,Group1,-1.7,8.2,-35.8765,replicate
an1,Control,1,Group1,-1.7,8.4,-36.1859,replicate
an1,Control,1,Group1,-1.7,8.6,-35.8662,replicate
an1,Control,1,Group1,-1.7,8.8,-34.8731,replicate
an1,Control,1,Group1,-1.7,9.0,-34.8467,replicate
an1,Control,1,Group1,-1.7,9.2,-34.9142,replicate
an1,Control,1,Group1,-1.7,9.4,-34.789,replicate
an1,Control,1,Group1,-1.7,9.6,-35.0432,replicate
an1,Control,1,Group1,-1.7,9.8,-37.204,replicate
an1,Control,1,Group1,-1.7,10.0,-38.4803,replicate
an1,Control,1,Group1,-1.7,10.2,-39.666,replicate
an1,Control,1,Group1,-1.7,10.4,-40.903,replicate
an1,Control,1,Group1,-1.7,10.6,-41.6167,replicate
an1,Control,1,Group1,-1.7,10.8,-37.3208,replicate
an1,Control,1,Group1,-1.7,11.0,-37.8613,replicate
an1,Control,1,Group1,-1.7,11.2,-35.8762,replicate
an1,Control,1,Group1,-1.7,11.4,-36.5771,replicate
an1,Control,1,Group1,-1.7,11.6,-36.2906,replicate
an1,Control,1,Group1,-1.7,11.8,-35.3599,replicate
an1,Control,1,Group1,-1.7,12.0,4.8746,replicate
an1,Control,1,Group1,-1.7,12.2,42.1811,replicate
an1,Control,1,Group1,-1.7,12.4,13.9937,replicate
an1,Control,1,Group1,-1.7,12.6,12.8633,replicate
an1,Control,1,Group1,-1.7,12.8,12.0821,replicate
an1,Control,1,Group1,-1.7,13.0,13.1699,replicate
an1,Control,1,Group1,-1.7,13.2,13.821,replicate
an1,Control,1,Group1,-1.7,13.4,8.5857,replicate
an1,Control,1,Group1,-1.7,13.6,8.7677,replicate
an1,Control,1,Group1,-1.7,13.8,45.695,replicate
an1,Control,1,Group1,-1.7,14.0,9.9159,replicate
an1,Control,1,Group1,-1.7,14.2,-31.4544,replicate
an1,Control,1,Group1,-1.7,14.4,5.9454,replicate
an1,Control,1,Group1,-1.7,14.6,10.3355,replicate
an1,Control,1,Group1,-1.7,14.8,11.543,replicate
an1,Control,1,Group1,-1.7,15.0,11.4775,replicate
an1,Control,1,Group1,-1.7,15.2,12.3009,replicate
an1,Control,1,Group1,-1.7,15.4,11.6606,replicate
an1,Control,1,Group1,-1.7,15.6,11.7673,replicate
an1,Control,1,Group1,-1.7,15.8,11.0401,replicate
an1,Control,1,Group1,-1.7,16.0,9.3058,replicate
an1,Control,1,Group1,-1.7,16.2,8.2221,replicate
an1,Control,1,Group1,-1.7,16.4,8.2814,replicate
an1,Control,1,Group1,-1.7,16.6,8.113,replicate
an1,Control,1,Group1,-1.7,16.8,9.4384,replicate
an1,Control,1,Group1,-1.7,17.0,10.5698,replicate
an1,Control,1,Group1,-1.7,17.2,12.6382,replicate
an1,Control,1,Group1,-1.7,17.4,12.8383,replicate
an1,Control,1,Group1,-1.7,17.6,13.2635,replicate
an1,Control,1,Group1,-1.7,17.8,12.7056,replicate
an1,Control,1,Group1,-1.7,18.0,11.9576,replicate
an1,Control,1,Group1,-1.7,18.2,8.7583,replicate
an1,Control,1,Group1,-1.7,18.4,5.5173,replicate
an1,Control,1,Group1,-1.7,18.6,3.8659,replicate
an1,Control,1,Group1,-1.7,18.8,3.5046,replicate
an1,Control,1,Group1,-1.7,19.0,4.1404,replicate
an1,Control,1,Group1,-1.7,19.2,5.1566,replicate
an1,Control,1,Group1,-1.7,19.4,6.5116,replicate
an1,Control,1,Group1,-1.7,19.6,9.1882,replicate
an1,Control,1,Group1,-1.7,19.8,9.7675,replicate
an1,Control,1,Group1,-1.7,20.0,9.6624,replicate
an1,Control,1,Group1,-1.7,20.2,-29.3201,replicate
an1,Control,1,Group1,-1.7,20.4,-32.8866,replicate
an1,Control,1,Group1,-1.7,20.6,-36.9558,replicate
an1,Control,1,Group1,-1.7,20.8,-37.1513,replicate
an1,Control,1,Group1,-1.7,21.0,-36.8159,replicate
an1,Control,1,Group1,-1.7,21.2,-37.6292,replicate
an1,Control,1,Group1,-1.7,21.4,-35.2814,replicate
an1,Control,1,Group1,-1.7,21.6,3.2099,replicate
an1,Control,1,Group1,-1.7,21.8,4.768,replicate
an1,Control,1,Group1,-1.7,22.0,-35.4819,replicate
an1,Control,1,Group1,-1.7,22.2,-35.8719,replicate
an1,Control,1,Group1,-1.7,22.4,-36.2054,replicate
an1,Control,1,Group1,-1.7,22.6,2.2591,replicate
an1,Control,1,Group1,-1.7,22.8,6.3358,replicate
an1,Control,1,Group1,-1.7,23.0,10.447,replicate
an1,Control,1,Group1,-1.7,23.2,10.2422,replicate
an1,Control,1,Group1,-1.7,23.4,10.3531,replicate
an1,Control,1,Group1,-1.7,23.6,10.6812,replicate
an1,Control,1,Group1,-1.7,23.8,11.7926,replicate
an1,Control,1,Group1,-1.7,24.0,49.1438,replicate
an1,Control,1,Group1,-1.7,24.2,53.6941,replicate
an1,Control,1,Group1,-1.7,24.4,55.3416,replicate
an1,Control,1,Group1,-1.7,24.6,53.9076,replicate
an1,Control,1,Group1,-1.7,24.8,10.9298,replicate
an1,Control,1,Group1,-1.7,25.0,-30.9043,replicate
an1,Control,1,Group1,-1.7,25.2,-36.994,replicate
an1,Control,1,Group1,-1.7,25.4,-37.7095,replicate
an1,Control,1,Group1,-1.7,25.6,-3.2494,replicate
an1,Control,1,Group1,-1.7,25.8,4.719,replicate
an1,Control,1,Group1,-1.7,26.0,4.4172,replicate
an1,Control,1,Group1,-1.7,26.2,3.0652,replicate
an1,Control,1,Group1,-1.7,26.4,-35.0551,replicate
an1,Control,1,Group1,-1.7,26.6,-37.1481,replicate
an1,Control,1,Group1,-1.7,26.8,-37.8326,replicate
an1,Control,1,Group1,-1.7,27.0,-35.3443,replicate
an1,Control,1,Group1,-1.7,27.2,-30.4313,replicate
an1,Control,1,Group1,-1.7,27.4,-28.7429,replicate
an1,Control,1,Group1,-1.7,27.6,-30.4891,replicate
an1,Control,1,Group1,-1.7,27.8,-33.8987,replicate
