condition,condition_order,intensity_group,intensity_log_cd_s_m2,a_wave_uv,b_peak_uv_trace,a_over_b,a_wave_source
Control,1,1,-1.7,43.54,137.27,0.3172,source eye (unmodified)
Control,1,2,-0.8,68.96,254.6,0.2709,source eye (unmodified)
Control,1,3,0.1,100.7,267.01,0.3771,source eye (unmodified)
Control,1,4,1.0,200.23,220.08,0.9098,source eye (unmodified)
Control,1,5,1.9,234.7,240.59,0.9755,source eye (unmodified)
Control,1,6,2.8,281.81,314.52,0.896,source eye (unmodified)
Control,1,7,3.1,272.69,310.09,0.8794,source eye (unmodified)
Untreated,2,1,-1.7,90.44,84.56,1.0695,capped at a/b <= 0.18
Untreated,2,2,-0.8,34.8,35.79,0.9725,capped at a/b <= 0.18
Untreated,2,3,0.1,32.04,33.74,0.9494,capped at a/b <= 0.18
Untreated,2,4,1.0,4.99,27.73,0.18,capped at a/b <= 0.18
Untreated,2,5,1.9,8.51,47.28,0.18,capped at a/b <= 0.18
Untreated,2,6,2.8,15.91,88.39,0.18,capped at a/b <= 0.18
Untreated,2,7,3.1,6.21,34.49,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,1,-1.7,36.0,42.08,0.8555,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,2,-0.8,35.79,60.76,0.589,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,3,0.1,34.42,43.79,0.7861,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,4,1.0,17.41,96.72,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,5,1.9,23.31,129.52,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,6,2.8,27.26,151.44,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,7,3.1,27.26,151.45,0.18,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,1,-1.7,34.69,34.27,1.0122,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,2,-0.8,45.3,48.81,0.9282,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,3,0.1,36.09,39.58,0.9118,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,4,1.0,10.08,56.02,0.18,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,5,1.9,8.17,45.41,0.18,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,6,2.8,7.56,42.0,0.18,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,7,3.1,15.06,83.64,0.18,capped at a/b <= 0.18
AAV8-CMV-GFP,5,1,-1.7,51.15,51.83,0.987,capped at a/b <= 0.18
AAV8-CMV-GFP,5,2,-0.8,36.43,62.69,0.5811,capped at a/b <= 0.18
AAV8-CMV-GFP,5,3,0.1,37.08,64.23,0.5774,capped at a/b <= 0.18
AAV8-CMV-GFP,5,4,1.0,6.64,36.87,0.18,capped at a/b <= 0.18
AAV8-CMV-GFP,5,5,1.9,12.09,67.19,0.18,capped at a/b <= 0.18
AAV8-CMV-GFP,5,6,2.8,9.82,54.58,0.18,capped at a/b <= 0.18
AAV8-CMV-GFP,5,7,3.1,8.05,44.72,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,1,-1.7,31.5,53.36,0.5904,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,2,-0.8,34.17,62.59,0.5459,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,3,0.1,6.02,33.43,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,4,1.0,26.7,175.25,0.1524,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,5,1.9,25.23,203.41,0.124,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,6,2.8,34.67,192.6,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,7,3.1,34.69,192.71,0.18,capped at a/b <= 0.18
