sample_id,animal,eye,condition,condition_order,intensity_group,intensity_log_cd_s_m2,b_wave_uv
MOCK-01_LE,MOCK-01,LE,Control,1,1,-1.7,98.63
MOCK-01_LE,MOCK-01,LE,Control,1,2,-0.8,197.27
MOCK-01_LE,MOCK-01,LE,Control,1,3,0.1,229.82
MOCK-01_LE,MOCK-01,LE,Control,1,4,1.0,238.54
MOCK-01_LE,MOCK-01,LE,Control,1,5,1.9,238.93
MOCK-01_LE,MOCK-01,LE,Control,1,6,2.8,230.77
MOCK-01_LE,MOCK-01,LE,Control,1,7,3.1,243.88
MOCK-02_RE,MOCK-02,RE,Control,1,1,-1.7,95.86
MOCK-02_RE,MOCK-02,RE,Control,1,2,-0.8,172.49
MOCK-02_RE,MOCK-02,RE,Control,1,3,0.1,198.29
MOCK-02_RE,MOCK-02,RE,Control,1,4,1.0,209.36
MOCK-02_RE,MOCK-02,RE,Control,1,5,1.9,202.18
MOCK-02_RE,MOCK-02,RE,Control,1,6,2.8,198.88
MOCK-02_RE,MOCK-02,RE,Control,1,7,3.1,202.19
MOCK-03_LE,MOCK-03,LE,Control,1,1,-1.7,98.21
MOCK-03_LE,MOCK-03,LE,Control,1,2,-0.8,187.52
MOCK-03_LE,MOCK-03,LE,Control,1,3,0.1,220.96
MOCK-03_LE,MOCK-03,LE,Control,1,4,1.0,228.79
MOCK-03_LE,MOCK-03,LE,Control,1,5,1.9,241.65
MOCK-03_LE,MOCK-03,LE,Control,1,6,2.8,239.11
MOCK-03_LE,MOCK-03,LE,Control,1,7,3.1,233.41
MOCK-04_RE,MOCK-04,RE,Control,1,1,-1.7,91.44
MOCK-04_RE,MOCK-04,RE,Control,1,2,-0.8,194.58
MOCK-04_RE,MOCK-04,RE,Control,1,3,0.1,240.93
MOCK-04_RE,MOCK-04,RE,Control,1,4,1.0,253.08
MOCK-04_RE,MOCK-04,RE,Control,1,5,1.9,253.84
MOCK-04_RE,MOCK-04,RE,Control,1,6,2.8,244.02
MOCK-04_RE,MOCK-04,RE,Control,1,7,3.1,244.86
MOCK-05_LE,MOCK-05,LE,Control,1,1,-1.7,89.42
MOCK-05_LE,MOCK-05,LE,Control,1,2,-0.8,177.68
MOCK-05_LE,MOCK-05,LE,Control,1,3,0.1,216.29
MOCK-05_LE,MOCK-05,LE,Control,1,4,1.0,207.79
MOCK-05_LE,MOCK-05,LE,Control,1,5,1.9,216.15
MOCK-05_LE,MOCK-05,LE,Control,1,6,2.8,219.41
MOCK-05_LE,MOCK-05,LE,Control,1,7,3.1,216.88
MOCK-06_RE,MOCK-06,RE,Control,1,1,-1.7,83.77
MOCK-06_RE,MOCK-06,RE,Control,1,2,-0.8,167.38
MOCK-06_RE,MOCK-06,RE,Control,1,3,0.1,210.61
MOCK-06_RE,MOCK-06,RE,Control,1,4,1.0,212.76
