intensity_log_cd_s_m2,group_a,group_b,n_a,n_b,mean_a_uv,mean_b_uv,difference_uv,t,df,p_value,significance
1.0,AAV8-RK-PDE6B,Untreated,7,4,79.81,12.32,67.49,5.266,6.14,0.00176,**
1.0,AAV8-RK-PDE6B,AAV8-RK-GFP-polyA-stuffer,7,3,79.81,10.64,69.17,5.347,6.36,0.00146,**
1.0,AAV8-RK-PDE6B,AAV8-CMV-GFP,7,4,79.81,8.12,71.69,5.589,6.16,0.00128,**
1.0,AAV8-RK-PDE6B-3UTR,Untreated,4,4,126.81,12.32,114.49,9.338,3.08,0.00234,**
1.0,AAV8-RK-PDE6B-3UTR,AAV8-RK-GFP-polyA-stuffer,4,3,126.81,10.64,116.17,9.38,3.2,0.00196,**
1.0,AAV8-RK-PDE6B-3UTR,AAV8-CMV-GFP,4,4,126.81,8.12,118.69,9.672,3.09,0.00208,**
1.0,AAV8-RK-PDE6B-3UTR,AAV8-RK-PDE6B,4,7,126.81,79.81,47.0,2.666,8.23,0.0278,*
1.9,AAV8-RK-PDE6B,Untreated,7,4,103.94,30.56,73.38,6.318,6.95,0.000408,***
1.9,AAV8-RK-PDE6B,AAV8-RK-GFP-polyA-stuffer,7,3,103.94,26.41,77.53,6.629,7.05,0.000288,***
1.9,AAV8-RK-PDE6B,AAV8-CMV-GFP,7,4,103.94,22.94,81.0,7.159,6.34,0.000291,***
1.9,AAV8-RK-PDE6B-3UTR,Untreated,4,4,165.99,30.56,135.43,8.268,3.24,0.00276,**
1.9,AAV8-RK-PDE6B-3UTR,AAV8-RK-GFP-polyA-stuffer,4,3,165.99,26.41,139.58,8.491,3.28,0.00241,**
1.9,AAV8-RK-PDE6B-3UTR,AAV8-CMV-GFP,4,4,165.99,22.94,143.05,8.847,3.08,0.00273,**
1.9,AAV8-RK-PDE6B-3UTR,AAV8-RK-PDE6B,4,7,165.99,103.94,62.05,3.174,5.91,0.0196,*
