condition,condition_order,intensity_group,intensity_log_cd_s_m2,n_eyes,mean_b_wave_uv,sd_uv,sem_uv
Control,1,1,-1.7,8,98.54,11.63,4.11
Control,1,2,-0.8,8,189.4,16.05,5.67
Control,1,3,0.1,8,229.89,23.01,8.13
Control,1,4,1.0,8,234.51,23.99,8.48
Control,1,5,1.9,8,234.65,21.13,7.47
Control,1,6,2.8,8,233.55,22.96,8.12
Control,1,7,3.1,8,237.48,26.03,9.2
Untreated,2,1,-1.7,4,0.43,0.71,0.35
Untreated,2,2,-0.8,4,0.0,0.0,0.0
Untreated,2,3,0.1,4,0.93,0.23,0.11
Untreated,2,4,1.0,4,12.32,2.77,1.39
Untreated,2,5,1.9,4,30.56,6.47,3.24
Untreated,2,6,2.8,4,35.09,8.9,4.45
Untreated,2,7,3.1,4,33.11,9.49,4.74
AAV8-RK-PDE6B,3,1,-1.7,7,0.19,0.33,0.13
AAV8-RK-PDE6B,3,2,-0.8,7,0.01,0.03,0.01
AAV8-RK-PDE6B,3,3,0.1,7,3.13,2.92,1.1
AAV8-RK-PDE6B,3,4,1.0,7,79.81,33.71,12.74
AAV8-RK-PDE6B,3,5,1.9,7,103.94,29.51,11.15
AAV8-RK-PDE6B,3,6,2.8,7,104.86,29.12,11.0
AAV8-RK-PDE6B,3,7,3.1,7,105.32,33.11,12.52
AAV8-RK-GFP-polyA-stuffer,4,1,-1.7,3,0.22,0.39,0.22
AAV8-RK-GFP-polyA-stuffer,4,2,-0.8,3,0.0,0.0,0.0
AAV8-RK-GFP-polyA-stuffer,4,3,0.1,3,0.86,0.44,0.25
AAV8-RK-GFP-polyA-stuffer,4,4,1.0,3,10.64,3.88,2.24
AAV8-RK-GFP-polyA-stuffer,4,5,1.9,3,26.41,6.1,3.52
AAV8-RK-GFP-polyA-stuffer,4,6,2.8,3,29.07,6.8,3.93
AAV8-RK-GFP-polyA-stuffer,4,7,3.1,3,29.61,6.13,3.54
AAV8-CMV-GFP,5,1,-1.7,4,0.1,0.14,0.07
AAV8-CMV-GFP,5,2,-0.8,4,0.27,0.3,0.15
AAV8-CMV-GFP,5,3,0.1,4,1.04,0.22,0.11
AAV8-CMV-GFP,5,4,1.0,4,8.12,2.97,1.48
AAV8-CMV-GFP,5,5,1.9,4,22.94,3.8,1.9
AAV8-CMV-GFP,5,6,2.8,4,26.07,6.01,3.01
AAV8-CMV-GFP,5,7,3.1,4,26.39,5.46,2.73
AAV8-RK-PDE6B-3UTR,6,1,-1.7,4,0.42,0.5,0.25
AAV8-RK-PDE6B-3UTR,6,2,-0.8,4,0.38,0.37,0.19
AAV8-RK-PDE6B-3UTR,6,3,0.1,4,6.0,6.63,3.32
AAV8-RK-PDE6B-3UTR,6,4,1.0,4,126.81,24.36,12.18
AAV8-RK-PDE6B-3UTR,6,5,1.9,4,165.99,32.11,16.06
AAV8-RK-PDE6B-3UTR,6,6,2.8,4,168.1,35.03,17.52
AAV8-RK-PDE6B-3UTR,6,7,3.1,4,167.87,29.65,14.82
