condition,condition_order,intensity_group,intensity_log_cd_s_m2,time_ms,voltage_uv
Control,1,5,1.9,0.0,-51.65
Control,1,5,1.9,0.2,-37.69
Control,1,5,1.9,0.4,-24.71
Control,1,5,1.9,0.6,-13.28
Control,1,5,1.9,0.8,-3.84
Control,1,5,1.9,1.0,3.34
Control,1,5,1.9,1.2,8.18
Control,1,5,1.9,1.4,10.83
Control,1,5,1.9,1.6,11.58
Control,1,5,1.9,1.8,10.88
Control,1,5,1.9,2.0,9.26
Control,1,5,1.9,2.2,7.25
Control,1,5,1.9,2.4,5.36
Control,1,5,1.9,2.6,3.97
Control,1,5,1.9,2.8,3.33
Control,1,5,1.9,3.0,3.52
Control,1,5,1.9,3.2,4.43
Control,1,5,1.9,3.4,5.82
Control,1,5,1.9,3.6,7.33
Control,1,5,1.9,3.8,8.55
Control,1,5,1.9,4.0,9.07
Control,1,5,1.9,4.2,8.56
Control,1,5,1.9,4.4,6.8
Control,1,5,1.9,4.6,3.72
Control,1,5,1.9,4.8,-0.57
Control,1,5,1.9,5.0,-5.8
Control,1,5,1.9,5.2,-11.58
Control,1,5,1.9,5.4,-17.4
Control,1,5,1.9,5.6,-22.75
Control,1,5,1.9,5.8,-27.14
Control,1,5,1.9,6.0,-30.19
Control,1,5,1.9,6.2,-31.66
Control,1,5,1.9,6.4,-31.46
Control,1,5,1.9,6.6,-29.72
Control,1,5,1.9,6.8,-26.71
Control,1,5,1.9,7.0,-22.87
Control,1,5,1.9,7.2,-18.69
Control,1,5,1.9,7.4,-14.7
Control,1,5,1.9,7.6,-11.39
Control,1,5,1.9,7.8,-9.13
Control,1,5,1.9,8.0,-8.15
Control,1,5,1.9,8.2,-8.5
Control,1,5,1.9,8.4,-10.06
Control,1,5,1.9,8.6,-12.53
Control,1,5,1.9,8.8,-15.49
Control,1,5,1.9,9.0,-18.46
Control,1,5,1.9,9.2,-20.95
Control,1,5,1.9,9.4,-22.52
Control,1,5,1.9,9.6,-22.85
Control,1,5,1.9,9.8,-21.8
Control,1,5,1.9,10.0,-19.38
Control,1,5,1.9,10.2,-15.8
Control,1,5,1.9,10.4,-11.45
Control,1,5,1.9,10.6,-6.81
Control,1,5,1.9,10.8,-2.43
Control,1,5,1.9,11.0,1.13
Control,1,5,1.9,11.2,3.41
Control,1,5,1.9,11.4,4.05
Control,1,5,1.9,11.6,2.86
Control,1,5,1.9,11.8,-0.14
Control,1,5,1.9,12.0,-4.76
Control,1,5,1.9,12.2,-10.63
Control,1,5,1.9,12.4,-17.24
Control,1,5,1.9,12.6,-24.02
Control,1,5,1.9,12.8,-30.4
Control,1,5,1.9,13.0,-35.83
Control,1,5,1.9,13.2,-39.89
Control,1,5,1.9,13.4,-42.28
Control,1,5,1.9,13.6,-42.9
Control,1,5,1.9,13.8,-41.8
Control,1,5,1.9,14.0,-39.18
Control,1,5,1.9,14.2,-35.37
Control,1,5,1.9,14.4,-30.76
Control,1,5,1.9,14.6,-25.78
Control,1,5,1.9,14.8,-20.81
Control,1,5,1.9,15.0,-16.16
Control,1,5,1.9,15.2,-12.03
Control,1,5,1.9,15.4,-8.5
Control,1,5,1.9,15.6,-5.53
Control,1,5,1.9,15.8,-2.94
Control,1,5,1.9,16.0,-0.51
Control,1,5,1.9,16.2,2.03
Control,1,5,1.9,16.4,4.97
Control,1,5,1.9,16.6,8.51
Control,1,5,1.9,16.8,12.79
Control,1,5,1.9,17.0,17.84
Control,1,5,1.9,17.2,23.55
Control,1,5,1.9,17.4,29.71
Control,1,5,1.9,17.6,36.0
Control,1,5,1.9,17.8,42.02
Control,1,5,1.9,18.0,47.36
Control,1,5,1.9,18.2,51.59
Control,1,5,1.9,18.4,54.37
Control,1,5,1.9,18.6,55.4
Control,1,5,1.9,18.8,54.54
Control,1,5,1.9,19.0,51.77
Control,1,5,1.9,19.2,47.19
Control,1,5,1.9,19.4,41.06
Control,1,5,1.9,19.6,33.73
Control,1,5,1.9,19.8,25.65
Control,1,5,1.9,20.0,17.32
Control,1,5,1.9,20.2,9.23
Control,1,5,1.9,20.4,1.88
Control,1,5,1.9,20.6,-4.3
Control,1,5,1.9,20.8,-8.97
Control,1,5,1.9,21.0,-11.89
Control,1,5,1.9,21.2,-12.95
Control,1,5,1.9,21.4,-12.14
Control,1,5,1.9,21.6,-9.59
Control,1,5,1.9,21.8,-5.55
Control,1,5,1.9,22.0,-0.35
Control,1,5,1.9,22.2,5.61
Control,1,5,1.9,22.4,11.87
Control,1,5,1.9,22.6,17.95
Control,1,5,1.9,22.8,23.39
Control,1,5,1.9,23.0,27.78
Control,1,5,1.9,23.2,30.78
Control,1,5,1.9,23.4,32.13
Control,1,5,1.9,23.6,31.7
Control,1,5,1.9,23.8,29.47
Control,1,5,1.9,24.0,25.56
Control,1,5,1.9,24.2,20.21
Control,1,5,1.9,24.4,13.76
Control,1,5,1.9,24.6,6.62
Control,1,5,1.9,24.8,-0.75
Control,1,5,1.9,25.0,-7.87
Control,1,5,1.9,25.2,-14.32
Control,1,5,1.9,25.4,-19.71
Control,1,5,1.9,25.6,-23.77
Control,1,5,1.9,25.8,-26.36
Control,1,5,1.9,26.0,-27.44
Control,1,5,1.9,26.2,-27.11
Control,1,5,1.9,26.4,-25.59
Control,1,5,1.9,26.6,-23.17
Control,1,5,1.9,26.8,-20.18
Control,1,5,1.9,27.0,-16.96
Control,1,5,1.9,27.2,-13.84
Control,1,5,1.9,27.4,-11.04
Control,1,5,1.9,27.6,-8.69
Control,1,5,1.9,27.8,-6.84
Control,1,5,1.9,28.0,-5.38
Control,1,5,1.9,28.2,-4.15
Control,1,5,1.9,28.4,-2.89
Control,1,5,1.9,28.6,-1.34
Control,1,5,1.9,28.8,0.75
Control,1,5,1.9,29.0,3.58
Control,1,5,1.9,29.2,7.23
Control,1,5,1.9,29.4,11.67
Control,1,5,1.9,29.6,16.71
Control,1,5,1.9,29.8,22.07
Control,1,5,1.9,30.0,27.31
Control,1,5,1.9,30.2,31.98
Control,1,5,1.9,30.4,35.58
Control,1,5,1.9,30.6,37.67
Control,1,5,1.9,30.8,37.91
Control,1,5,1.9,31.0,36.09
Control,1,5,1.9,31.2,32.19
Control,1,5,1.9,31.4,26.4
Control,1,5,1.9,31.6,19.07
Control,1,5,1.9,31.8,10.73
Control,1,5,1.9,32.0,1.99
Control,1,5,1.9,32.2,-6.45
Control,1,5,1.9,32.4,-13.94
Control,1,5,1.9,32.6,-19.91
Control,1,5,1.9,32.8,-23.92
Control,1,5,1.9,33.0,-25.74
Control,1,5,1.9,33.2,-25.33
Control,1,5,1.9,33.4,-22.88
Control,1,5,1.9,33.6,-18.76
Control,1,5,1.9,33.8,-13.48
Control,1,5,1.9,34.0,-7.64
Control,1,5,1.9,34.2,-1.84
Control,1,5,1.9,34.4,3.34
Control,1,5,1.9,34.6,7.48
Control,1,5,1.9,34.8,10.3
Control,1,5,1.9,35.0,11.7
Control,1,5,1.9,35.2,11.8
Control,1,5,1.9,35.4,10.89
Control,1,5,1.9,35.6,9.38
Control,1,5,1.9,35.8,7.8
Control,1,5,1.9,36.0,6.65
Control,1,5,1.9,36.2,6.42
Control,1,5,1.9,36.4,7.49
Control,1,5,1.9,36.6,10.06
Control,1,5,1.9,36.8,14.19
Control,1,5,1.9,37.0,19.72
Control,1,5,1.9,37.2,26.35
Control,1,5,1.9,37.4,33.62
Control,1,5,1.9,37.6,40.99
Control,1,5,1.9,37.8,47.92
Control,1,5,1.9,38.0,53.86
Control,1,5,1.9,38.2,58.38
Control,1,5,1.9,38.4,61.18
Control,1,5,1.9,38.6,62.1
Control,1,5,1.9,38.8,61.16
Control,1,5,1.9,39.0,58.54
Control,1,5,1.9,39.2,54.55
Control,1,5,1.9,39.4,49.59
Control,1,5,1.9,39.6,44.11
Control,1,5,1.9,39.8,38.53
Control,1,5,1.9,40.0,33.26
Control,1,5,1.9,40.2,28.61
Control,1,5,1.9,40.4,24.79
Control,1,5,1.9,40.6,21.88
Control,1,5,1.9,40.8,19.88
Control,1,5,1.9,41.0,18.69
Control,1,5,1.9,41.2,18.14
Control,1,5,1.9,41.4,18.03
Control,1,5,1.9,41.6,18.18
Control,1,5,1.9,41.8,18.43
Control,1,5,1.9,42.0,18.66
Control,1,5,1.9,42.2,18.81
Control,1,5,1.9,42.4,18.89
Control,1,5,1.9,42.6,18.94
Control,1,5,1.9,42.8,19.04
Control,1,5,1.9,43.0,19.27
Control,1,5,1.9,43.2,19.72
Control,1,5,1.9,43.4,20.41
Control,1,5,1.9,43.6,21.36
Control,1,5,1.9,43.8,22.5
Control,1,5,1.9,44.0,23.74
Control,1,5,1.9,44.2,24.93
Control,1,5,1.9,44.4,25.93
Control,1,5,1.9,44.6,26.59
Control,1,5,1.9,44.8,26.76
Control,1,5,1.9,45.0,26.38
Control,1,5,1.9,45.2,25.41
Control,1,5,1.9,45.4,23.89
Control,1,5,1.9,45.6,21.93
Control,1,5,1.9,45.8,19.68
Control,1,5,1.9,46.0,17.36
Control,1,5,1.9,46.2,15.19
Control,1,5,1.9,46.4,13.39
Control,1,5,1.9,46.6,12.19
Control,1,5,1.9,46.8,11.76
Control,1,5,1.9,47.0,12.21
Control,1,5,1.9,47.2,13.61
Control,1,5,1.9,47.4,15.97
Control,1,5,1.9,47.6,19.22
Control,1,5,1.9,47.8,23.27
Control,1,5,1.9,48.0,27.96
Control,1,5,1.9,48.2,33.12
Control,1,5,1.9,48.4,38.55
Control,1,5,1.9,48.6,44.07
Control,1,5,1.9,48.8,49.47
Control,1,5,1.9,49.0,54.55
Control,1,5,1.9,49.2,59.13
Control,1,5,1.9,49.4,63.02
Control,1,5,1.9,49.6,66.05
Control,1,5,1.9,49.8,68.05
Control,1,5,1.9,50.0,68.89
Control,1,5,1.9,50.2,68.44
Control,1,5,1.9,50.4,66.61
Control,1,5,1.9,50.6,63.39
Control,1,5,1.9,50.8,58.77
Control,1,5,1.9,51.0,52.86
Control,1,5,1.9,51.2,45.82
Control,1,5,1.9,51.4,37.88
Control,1,5,1.9,51.6,29.35
Control,1,5,1.9,51.8,20.57
Control,1,5,1.9,52.0,11.94
Control,1,5,1.9,52.2,3.85
Control,1,5,1.9,52.4,-3.34
Control,1,5,1.9,52.6,-9.3
Control,1,5,1.9,52.8,-13.79
Control,1,5,1.9,53.0,-16.67
Control,1,5,1.9,53.2,-17.9
Control,1,5,1.9,53.4,-17.57
Control,1,5,1.9,53.6,-15.85
Control,1,5,1.9,53.8,-13.03
Control,1,5,1.9,54.0,-9.47
Control,1,5,1.9,54.2,-5.53
Control,1,5,1.9,54.4,-1.63
Control,1,5,1.9,54.6,1.87
Control,1,5,1.9,54.8,4.63
Control,1,5,1.9,55.0,6.4
Control,1,5,1.9,55.2,7.0
Control,1,5,1.9,55.4,6.35
Control,1,5,1.9,55.6,4.42
Control,1,5,1.9,55.8,1.28
Control,1,5,1.9,56.0,-2.96
Control,1,5,1.9,56.2,-8.15
Control,1,5,1.9,56.4,-14.12
Control,1,5,1.9,56.6,-20.71
Control,1,5,1.9,56.8,-27.75
Control,1,5,1.9,57.0,-35.11
Control,1,5,1.9,57.2,-42.68
Control,1,5,1.9,57.4,-50.35
Control,1,5,1.9,57.6,-58.05
Control,1,5,1.9,57.8,-65.72
Control,1,5,1.9,58.0,-73.3
Control,1,5,1.9,58.2,-80.75
Control,1,5,1.9,58.4,-88.01
Control,1,5,1.9,58.6,-95.05
Control,1,5,1.9,58.8,-101.84
Control,1,5,1.9,59.0,-108.35
Control,1,5,1.9,59.2,-114.57
Control,1,5,1.9,59.4,-120.54
Control,1,5,1.9,59.6,-126.29
Control,1,5,1.9,59.8,-131.87
Control,1,5,1.9,60.0,-137.35
Control,1,5,1.9,60.2,-142.81
Control,1,5,1.9,60.4,-148.3
Control,1,5,1.9,60.6,-153.87
Control,1,5,1.9,60.8,-159.52
Control,1,5,1.9,61.0,-165.21
Control,1,5,1.9,61.2,-170.86
Control,1,5,1.9,61.4,-176.36
Control,1,5,1.9,61.6,-181.57
Control,1,5,1.9,61.8,-186.32
Control,1,5,1.9,62.0,-190.45
Control,1,5,1.9,62.2,-193.85
Control,1,5,1.9,62.4,-196.42
Control,1,5,1.9,62.6,-198.16
Control,1,5,1.9,62.8,-199.11
Control,1,5,1.9,63.0,-199.39
Control,1,5,1.9,63.2,-199.2
Control,1,5,1.9,63.4,-198.78
Control,1,5,1.9,63.6,-198.37
Control,1,5,1.9,63.8,-198.25
Control,1,5,1.9,64.0,-198.63
Control,1,5,1.9,64.2,-199.69
Control,1,5,1.9,64.4,-201.52
Control,1,5,1.9,64.6,-204.12
Control,1,5,1.9,64.8,-207.42
Control,1,5,1.9,65.0,-211.25
Control,1,5,1.9,65.2,-215.39
