condition,condition_order,intensity_group,intensity_log_cd_s_m2,time_ms,voltage_uv
Control,1,1,-1.7,0.0,-43.54
Control,1,1,-1.7,0.2,-38.12
Control,1,1,-1.7,0.4,-31.2
Control,1,1,-1.7,0.6,-23.0
Control,1,1,-1.7,0.8,-13.88
Control,1,1,-1.7,1.0,-4.32
Control,1,1,-1.7,1.2,5.16
Control,1,1,-1.7,1.4,14.02
Control,1,1,-1.7,1.6,21.76
Control,1,1,-1.7,1.8,27.97
Control,1,1,-1.7,2.0,32.35
Control,1,1,-1.7,2.2,16.38
Control,1,1,-1.7,2.4,14.75
Control,1,1,-1.7,2.6,12.37
Control,1,1,-1.7,2.8,9.68
Control,1,1,-1.7,3.0,7.1
Control,1,1,-1.7,3.2,4.99
Control,1,1,-1.7,3.4,3.63
Control,1,1,-1.7,3.6,3.17
Control,1,1,-1.7,3.8,3.63
Control,1,1,-1.7,4.0,4.88
Control,1,1,-1.7,4.2,6.69
Control,1,1,-1.7,4.4,8.74
Control,1,1,-1.7,4.6,10.65
Control,1,1,-1.7,4.8,12.08
Control,1,1,-1.7,5.0,12.71
Control,1,1,-1.7,5.2,12.33
Control,1,1,-1.7,5.4,10.84
Control,1,1,-1.7,5.6,8.27
Control,1,1,-1.7,5.8,4.76
Control,1,1,-1.7,6.0,0.59
Control,1,1,-1.7,6.2,-3.91
Control,1,1,-1.7,6.4,-8.36
Control,1,1,-1.7,6.6,-12.41
Control,1,1,-1.7,6.8,-15.73
Control,1,1,-1.7,7.0,-18.1
Control,1,1,-1.7,7.2,-19.39
Control,1,1,-1.7,7.4,-19.58
Control,1,1,-1.7,7.6,-18.78
Control,1,1,-1.7,7.8,-17.19
Control,1,1,-1.7,8.0,-15.05
Control,1,1,-1.7,8.2,-12.67
Control,1,1,-1.7,8.4,-10.3
Control,1,1,-1.7,8.6,-8.19
Control,1,1,-1.7,8.8,-6.48
Control,1,1,-1.7,9.0,-5.25
Control,1,1,-1.7,9.2,-4.48
Control,1,1,-1.7,9.4,-4.05
Control,1,1,-1.7,9.6,-3.8
Control,1,1,-1.7,9.8,-3.53
Control,1,1,-1.7,10.0,-3.02
Control,1,1,-1.7,10.2,-2.12
Control,1,1,-1.7,10.4,-0.69
Control,1,1,-1.7,10.6,1.28
Control,1,1,-1.7,10.8,3.76
Control,1,1,-1.7,11.0,6.6
Control,1,1,-1.7,11.2,9.61
Control,1,1,-1.7,11.4,12.54
Control,1,1,-1.7,11.6,15.13
Control,1,1,-1.7,11.8,17.16
Control,1,1,-1.7,12.0,18.45
Control,1,1,-1.7,12.2,18.89
Control,1,1,-1.7,12.4,18.48
Control,1,1,-1.7,12.6,17.32
Control,1,1,-1.7,12.8,15.58
Control,1,1,-1.7,13.0,13.5
Control,1,1,-1.7,13.2,11.38
Control,1,1,-1.7,13.4,9.51
Control,1,1,-1.7,13.6,8.14
Control,1,1,-1.7,13.8,7.5
Control,1,1,-1.7,14.0,7.68
Control,1,1,-1.7,14.2,8.71
Control,1,1,-1.7,14.4,10.51
Control,1,1,-1.7,14.6,12.91
Control,1,1,-1.7,14.8,15.64
Control,1,1,-1.7,15.0,18.41
Control,1,1,-1.7,15.2,20.92
Control,1,1,-1.7,15.4,22.86
Control,1,1,-1.7,15.6,24.01
Control,1,1,-1.7,15.8,24.19
Control,1,1,-1.7,16.0,23.31
Control,1,1,-1.7,16.2,21.41
Control,1,1,-1.7,16.4,18.57
Control,1,1,-1.7,16.6,14.99
Control,1,1,-1.7,16.8,10.88
Control,1,1,-1.7,17.0,6.51
Control,1,1,-1.7,17.2,2.11
Control,1,1,-1.7,17.4,-2.08
Control,1,1,-1.7,17.6,-5.89
Control,1,1,-1.7,17.8,-9.21
Control,1,1,-1.7,18.0,-11.99
Control,1,1,-1.7,18.2,-14.25
Control,1,1,-1.7,18.4,-16.06
Control,1,1,-1.7,18.6,-17.53
Control,1,1,-1.7,18.8,-18.79
Control,1,1,-1.7,19.0,-19.97
Control,1,1,-1.7,19.2,-21.17
Control,1,1,-1.7,19.4,-22.46
Control,1,1,-1.7,19.6,-23.88
Control,1,1,-1.7,19.8,-25.41
Control,1,1,-1.7,20.0,-26.98
Control,1,1,-1.7,20.2,-28.49
Control,1,1,-1.7,20.4,-29.83
Control,1,1,-1.7,20.6,-30.85
Control,1,1,-1.7,20.8,-31.43
Control,1,1,-1.7,21.0,-31.46
Control,1,1,-1.7,21.2,-30.87
Control,1,1,-1.7,21.4,-29.62
Control,1,1,-1.7,21.6,-27.73
Control,1,1,-1.7,21.8,-25.27
Control,1,1,-1.7,22.0,-22.32
Control,1,1,-1.7,22.2,-19.05
Control,1,1,-1.7,22.4,-15.6
Control,1,1,-1.7,22.6,-12.17
Control,1,1,-1.7,22.8,-8.93
Control,1,1,-1.7,23.0,-6.05
Control,1,1,-1.7,23.2,-3.7
Control,1,1,-1.7,23.4,-1.99
Control,1,1,-1.7,23.6,-1.01
Control,1,1,-1.7,23.8,-0.78
Control,1,1,-1.7,24.0,-1.31
Control,1,1,-1.7,24.2,-2.54
Control,1,1,-1.7,24.4,-4.36
Control,1,1,-1.7,24.6,-6.65
Control,1,1,-1.7,24.8,-9.24
Control,1,1,-1.7,25.0,-11.94
Control,1,1,-1.7,25.2,-14.58
Control,1,1,-1.7,25.4,-16.97
Control,1,1,-1.7,25.6,-18.96
Control,1,1,-1.7,25.8,-20.42
Control,1,1,-1.7,26.0,-21.29
Control,1,1,-1.7,26.2,-21.54
Control,1,1,-1.7,26.4,-21.19
Control,1,1,-1.7,26.6,-20.31
Control,1,1,-1.7,26.8,-19.02
Control,1,1,-1.7,27.0,-17.46
Control,1,1,-1.7,27.2,-15.79
Control,1,1,-1.7,27.4,-14.16
Control,1,1,-1.7,27.6,-12.69
Control,1,1,-1.7,27.8,-11.47
Control,1,1,-1.7,28.0,-10.55
Control,1,1,-1.7,28.2,-9.92
Control,1,1,-1.7,28.4,-9.53
Control,1,1,-1.7,28.6,-9.27
Control,1,1,-1.7,28.8,-9.02
Control,1,1,-1.7,29.0,-8.65
Control,1,1,-1.7,29.2,-8.03
Control,1,1,-1.7,29.4,-7.1
Control,1,1,-1.7,29.6,-5.82
Control,1,1,-1.7,29.8,-4.23
Control,1,1,-1.7,30.0,-2.43
Control,1,1,-1.7,30.2,-0.59
Control,1,1,-1.7,30.4,1.05
Control,1,1,-1.7,30.6,2.26
Control,1,1,-1.7,30.8,2.79
Control,1,1,-1.7,31.0,2.41
Control,1,1,-1.7,31.2,0.99
Control,1,1,-1.7,31.4,-1.55
Control,1,1,-1.7,31.6,-5.15
Control,1,1,-1.7,31.8,-9.65
Control,1,1,-1.7,32.0,-14.79
Control,1,1,-1.7,32.2,-20.19
Control,1,1,-1.7,32.4,-25.43
Control,1,1,-1.7,32.6,-30.06
Control,1,1,-1.7,32.8,-33.66
Control,1,1,-1.7,33.0,-35.86
