condition,condition_order,intensity_group,intensity_log_cd_s_m2,a_wave_uv,b_peak_uv_trace,a_over_b,a_wave_source
Control,1,1,-1.7,46.29,142.34,0.3252,source eye (unmodified)
Control,1,2,-0.8,69.37,256.1,0.2709,source eye (unmodified)
Control,1,3,0.1,100.09,265.38,0.3771,source eye (unmodified)
Control,1,4,1.0,196.97,216.5,0.9098,source eye (unmodified)
Control,1,5,1.9,238.84,244.83,0.9755,source eye (unmodified)
Control,1,6,2.8,288.8,322.32,0.896,source eye (unmodified)
Control,1,7,3.1,276.75,314.71,0.8794,source eye (unmodified)
Untreated,2,1,-1.7,90.44,84.56,1.0695,capped at a/b <= 0.18
Untreated,2,2,-0.8,34.8,35.79,0.9725,capped at a/b <= 0.18
Untreated,2,3,0.1,30.26,30.58,0.9897,capped at a/b <= 0.18
Untreated,2,4,1.0,4.95,27.51,0.18,capped at a/b <= 0.18
Untreated,2,5,1.9,8.44,46.91,0.18,capped at a/b <= 0.18
Untreated,2,6,2.8,15.32,85.11,0.18,capped at a/b <= 0.18
Untreated,2,7,3.1,6.99,38.85,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,1,-1.7,90.19,86.34,1.0446,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,2,-0.8,34.8,43.39,0.8021,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,3,0.1,38.71,62.85,0.616,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,4,1.0,16.4,91.11,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,5,1.9,25.46,141.43,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,6,2.8,26.82,149.01,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B,3,7,3.1,26.7,148.31,0.18,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,1,-1.7,36.97,62.91,0.5878,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,2,-0.8,34.11,35.26,0.9674,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,3,0.1,41.47,44.04,0.9415,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,4,1.0,10.09,56.08,0.18,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,5,1.9,8.41,46.75,0.18,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,6,2.8,8.12,45.11,0.18,capped at a/b <= 0.18
AAV8-RK-GFP-polyA-stuffer,4,7,3.1,16.71,92.85,0.18,capped at a/b <= 0.18
AAV8-CMV-GFP,5,1,-1.7,23.29,33.43,0.6966,capped at a/b <= 0.18
AAV8-CMV-GFP,5,2,-0.8,47.75,48.85,0.9773,capped at a/b <= 0.18
AAV8-CMV-GFP,5,3,0.1,36.18,61.2,0.5911,capped at a/b <= 0.18
AAV8-CMV-GFP,5,4,1.0,7.33,40.71,0.18,capped at a/b <= 0.18
AAV8-CMV-GFP,5,5,1.9,10.59,58.85,0.18,capped at a/b <= 0.18
AAV8-CMV-GFP,5,6,2.8,11.26,62.53,0.18,capped at a/b <= 0.18
AAV8-CMV-GFP,5,7,3.1,7.45,41.37,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,1,-1.7,42.13,38.08,1.1065,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,2,-0.8,34.05,54.32,0.627,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,3,0.1,26.19,47.24,0.5545,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,4,1.0,26.77,175.7,0.1524,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,5,1.9,24.19,195.0,0.124,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,6,2.8,33.07,183.74,0.18,capped at a/b <= 0.18
AAV8-RK-PDE6B-3UTR,6,7,3.1,33.78,187.65,0.18,capped at a/b <= 0.18
