sample_id,animal,eye,condition,condition_order,intensity_group,intensity_log_cd_s_m2,b_wave_uv
MOCK-01_LE,MOCK-01,LE,Control,1,1,-1.7,99.53
MOCK-01_LE,MOCK-01,LE,Control,1,2,-0.8,203.61
MOCK-01_LE,MOCK-01,LE,Control,1,3,0.1,245.62
MOCK-01_LE,MOCK-01,LE,Control,1,4,1.0,248.49
MOCK-01_LE,MOCK-01,LE,Control,1,5,1.9,255.91
MOCK-01_LE,MOCK-01,LE,Control,1,6,2.8,260.59
MOCK-01_LE,MOCK-01,LE,Control,1,7,3.1,257.38
MOCK-02_RE,MOCK-02,RE,Control,1,1,-1.7,91.34
MOCK-02_RE,MOCK-02,RE,Control,1,2,-0.8,164.01
MOCK-02_RE,MOCK-02,RE,Control,1,3,0.1,188.55
MOCK-02_RE,MOCK-02,RE,Control,1,4,1.0,196.15
MOCK-02_RE,MOCK-02,RE,Control,1,5,1.9,203.41
MOCK-02_RE,MOCK-02,RE,Control,1,6,2.8,198.99
MOCK-02_RE,MOCK-02,RE,Control,1,7,3.1,199.75
MOCK-03_LE,MOCK-03,LE,Control,1,1,-1.7,115.78
MOCK-03_LE,MOCK-03,LE,Control,1,2,-0.8,203.94
MOCK-03_LE,MOCK-03,LE,Control,1,3,0.1,251.3
MOCK-03_LE,MOCK-03,LE,Control,1,4,1.0,247.42
MOCK-03_LE,MOCK-03,LE,Control,1,5,1.9,257.05
MOCK-03_LE,MOCK-03,LE,Control,1,6,2.8,258.43
MOCK-03_LE,MOCK-03,LE,Control,1,7,3.1,265.93
MOCK-04_RE,MOCK-04,RE,Untreated,2,1,-1.7,0.0
MOCK-04_RE,MOCK-04,RE,Untreated,2,2,-0.8,0.67
MOCK-04_RE,MOCK-04,RE,Untreated,2,3,0.1,1.58
MOCK-04_RE,MOCK-04,RE,Untreated,2,4,1.0,13.93
MOCK-04_RE,MOCK-04,RE,Untreated,2,5,1.9,31.71
MOCK-04_RE,MOCK-04,RE,Untreated,2,6,2.8,36.4
MOCK-04_RE,MOCK-04,RE,Untreated,2,7,3.1,37.46
MOCK-05_LE,MOCK-05,LE,Untreated,2,1,-1.7,0.49
MOCK-05_LE,MOCK-05,LE,Untreated,2,2,-0.8,0.46
MOCK-05_LE,MOCK-05,LE,Untreated,2,3,0.1,0.36
MOCK-05_LE,MOCK-05,LE,Untreated,2,4,1.0,9.97
MOCK-05_LE,MOCK-05,LE,Untreated,2,5,1.9,25.85
MOCK-05_LE,MOCK-05,LE,Untreated,2,6,2.8,29.41
MOCK-05_LE,MOCK-05,LE,Untreated,2,7,3.1,30.61
MOCK-06_RE,MOCK-06,RE,Untreated,2,1,-1.7,0.0
MOCK-06_RE,MOCK-06,RE,Untreated,2,2,-0.8,0.17
MOCK-06_RE,MOCK-06,RE,Untreated,2,3,0.1,1.66
MOCK-06_RE,MOCK-06,RE,Untreated,2,4,1.0,14.36
MOCK-06_RE,MOCK-06,RE,Untreated,2,5,1.9,33.4
MOCK-06_RE,MOCK-06,RE,Untreated,2,6,2.8,35.56
MOCK-06_RE,MOCK-06,RE,Untreated,2,7,3.1,37.7
MOCK-07_LE,MOCK-07,LE,AAV8-RK-PDE6B,3,1,-1.7,0.33
MOCK-07_LE,MOCK-07,LE,AAV8-RK-PDE6B,3,2,-0.8,0.6
MOCK-07_LE,MOCK-07,LE,AAV8-RK-PDE6B,3,3,0.1,0.0
MOCK-07_LE,MOCK-07,LE,AAV8-RK-PDE6B,3,4,1.0,42.08
MOCK-07_LE,MOCK-07,LE,AAV8-RK-PDE6B,3,5,1.9,65.85
MOCK-07_LE,MOCK-07,LE,AAV8-RK-PDE6B,3,6,2.8,64.72
MOCK-07_LE,MOCK-07,LE,AAV8-RK-PDE6B,3,7,3.1,64.83
MOCK-08_RE,MOCK-08,RE,AAV8-RK-PDE6B,3,1,-1.7,0.94
MOCK-08_RE,MOCK-08,RE,AAV8-RK-PDE6B,3,2,-0.8,0.0
MOCK-08_RE,MOCK-08,RE,AAV8-RK-PDE6B,3,3,0.1,0.97
MOCK-08_RE,MOCK-08,RE,AAV8-RK-PDE6B,3,4,1.0,44.44
MOCK-08_RE,MOCK-08,RE,AAV8-RK-PDE6B,3,5,1.9,68.62
MOCK-08_RE,MOCK-08,RE,AAV8-RK-PDE6B,3,6,2.8,62.49
MOCK-08_RE,MOCK-08,RE,AAV8-RK-PDE6B,3,7,3.1,62.68
MOCK-09_LE,MOCK-09,LE,AAV8-RK-PDE6B,3,1,-1.7,1.28
MOCK-09_LE,MOCK-09,LE,AAV8-RK-PDE6B,3,2,-0.8,0.3
MOCK-09_LE,MOCK-09,LE,AAV8-RK-PDE6B,3,3,0.1,2.2
MOCK-09_LE,MOCK-09,LE,AAV8-RK-PDE6B,3,4,1.0,45.62
MOCK-09_LE,MOCK-09,LE,AAV8-RK-PDE6B,3,5,1.9,50.98
MOCK-09_LE,MOCK-09,LE,AAV8-RK-PDE6B,3,6,2.8,51.28
MOCK-09_LE,MOCK-09,LE,AAV8-RK-PDE6B,3,7,3.1,54.9
MOCK-10_RE,MOCK-10,RE,AAV8-RK-GFP-polyA-stuffer,4,1,-1.7,0.14
MOCK-10_RE,MOCK-10,RE,AAV8-RK-GFP-polyA-stuffer,4,2,-0.8,0.0
MOCK-10_RE,MOCK-10,RE,AAV8-RK-GFP-polyA-stuffer,4,3,0.1,1.17
MOCK-10_RE,MOCK-10,RE,AAV8-RK-GFP-polyA-stuffer,4,4,1.0,12.91
MOCK-10_RE,MOCK-10,RE,AAV8-RK-GFP-polyA-stuffer,4,5,1.9,30.99
MOCK-10_RE,MOCK-10,RE,AAV8-RK-GFP-polyA-stuffer,4,6,2.8,35.48
MOCK-10_RE,MOCK-10,RE,AAV8-RK-GFP-polyA-stuffer,4,7,3.1,33.0
MOCK-11_LE,MOCK-11,LE,AAV8-RK-GFP-polyA-stuffer,4,1,-1.7,0.12
MOCK-11_LE,MOCK-11,LE,AAV8-RK-GFP-polyA-stuffer,4,2,-0.8,0.0
MOCK-11_LE,MOCK-11,LE,AAV8-RK-GFP-polyA-stuffer,4,3,0.1,0.09
MOCK-11_LE,MOCK-11,LE,AAV8-RK-GFP-polyA-stuffer,4,4,1.0,6.13
MOCK-11_LE,MOCK-11,LE,AAV8-RK-GFP-polyA-stuffer,4,5,1.9,21.67
MOCK-11_LE,MOCK-11,LE,AAV8-RK-GFP-polyA-stuffer,4,6,2.8,28.14
MOCK-11_LE,MOCK-11,LE,AAV8-RK-GFP-polyA-stuffer,4,7,3.1,27.41
MOCK-12_RE,MOCK-12,RE,AAV8-RK-GFP-polyA-stuffer,4,1,-1.7,0.0
MOCK-12_RE,MOCK-12,RE,AAV8-RK-GFP-polyA-stuffer,4,2,-0.8,0.0
MOCK-12_RE,MOCK-12,RE,AAV8-RK-GFP-polyA-stuffer,4,3,0.1,1.62
MOCK-12_RE,MOCK-12,RE,AAV8-RK-GFP-polyA-stuffer,4,4,1.0,12.92
MOCK-12_RE,MOCK-12,RE,AAV8-RK-GFP-polyA-stuffer,4,5,1.9,28.91
MOCK-12_RE,MOCK-12,RE,AAV8-RK-GFP-polyA-stuffer,4,6,2.8,30.03
MOCK-12_RE,MOCK-12,RE,AAV8-RK-GFP-polyA-stuffer,4,7,3.1,27.56
MOCK-13_LE,MOCK-13,LE,AAV8-CMV-GFP,5,1,-1.7,0.09
MOCK-13_LE,MOCK-13,LE,AAV8-CMV-GFP,5,2,-0.8,1.19
MOCK-13_LE,MOCK-13,LE,AAV8-CMV-GFP,5,3,0.1,0.51
MOCK-13_LE,MOCK-13,LE,AAV8-CMV-GFP,5,4,1.0,4.03
MOCK-13_LE,MOCK-13,LE,AAV8-CMV-GFP,5,5,1.9,19.52
MOCK-13_LE,MOCK-13,LE,AAV8-CMV-GFP,5,6,2.8,24.41
MOCK-13_LE,MOCK-13,LE,AAV8-CMV-GFP,5,7,3.1,24.44
MOCK-14_RE,MOCK-14,RE,AAV8-CMV-GFP,5,1,-1.7,0.43
MOCK-14_RE,MOCK-14,RE,AAV8-CMV-GFP,5,2,-0.8,0.0
MOCK-14_RE,MOCK-14,RE,AAV8-CMV-GFP,5,3,0.1,0.02
MOCK-14_RE,MOCK-14,RE,AAV8-CMV-GFP,5,4,1.0,9.42
MOCK-14_RE,MOCK-14,RE,AAV8-CMV-GFP,5,5,1.9,23.0
MOCK-14_RE,MOCK-14,RE,AAV8-CMV-GFP,5,6,2.8,23.24
MOCK-14_RE,MOCK-14,RE,AAV8-CMV-GFP,5,7,3.1,26.23
MOCK-15_LE,MOCK-15,LE,AAV8-CMV-GFP,5,1,-1.7,0.53
MOCK-15_LE,MOCK-15,LE,AAV8-CMV-GFP,5,2,-0.8,0.0
MOCK-15_LE,MOCK-15,LE,AAV8-CMV-GFP,5,3,0.1,1.3
