intensity_log_cd_s_m2,group_a,group_b,n_a,n_b,mean_a_uv,mean_b_uv,difference_uv,t,df,p_value,significance
1.0,AAV8-RK-PDE6B,Untreated,3,3,77.05,12.75,64.29,28.717,3.81,1.34e-05,****
1.0,AAV8-RK-PDE6B,AAV8-RK-GFP-polyA-stuffer,3,3,77.05,10.65,66.39,23.22,3.76,3.35e-05,****
1.0,AAV8-RK-PDE6B,AAV8-CMV-GFP,3,3,77.05,8.75,68.3,22.063,3.54,6.45e-05,****
1.0,AAV8-RK-PDE6B-3UTR,Untreated,3,3,127.13,12.75,114.37,13.98,2.12,0.00401,**
1.0,AAV8-RK-PDE6B-3UTR,AAV8-RK-GFP-polyA-stuffer,3,3,127.13,10.65,116.47,13.911,2.31,0.00279,**
1.0,AAV8-RK-PDE6B-3UTR,AAV8-CMV-GFP,3,3,127.13,8.75,118.38,13.999,2.4,0.00235,**
1.0,AAV8-RK-PDE6B-3UTR,AAV8-RK-PDE6B,3,3,127.13,77.05,50.08,6.071,2.19,0.0209,*
1.9,AAV8-RK-PDE6B,Untreated,3,3,107.75,30.32,77.43,8.004,2.24,0.0109,*
1.9,AAV8-RK-PDE6B,AAV8-RK-GFP-polyA-stuffer,3,3,107.75,27.19,80.56,8.208,2.36,0.00872,**
1.9,AAV8-RK-PDE6B,AAV8-CMV-GFP,3,3,107.75,23.44,84.31,8.691,2.26,0.00881,**
1.9,AAV8-RK-PDE6B-3UTR,Untreated,3,3,159.13,30.32,128.81,10.323,2.14,0.00733,**
1.9,AAV8-RK-PDE6B-3UTR,AAV8-RK-GFP-polyA-stuffer,3,3,159.13,27.19,131.94,10.482,2.21,0.0063,**
1.9,AAV8-RK-PDE6B-3UTR,AAV8-CMV-GFP,3,3,159.13,23.44,135.69,10.856,2.15,0.00644,**
1.9,AAV8-RK-PDE6B-3UTR,AAV8-RK-PDE6B,3,3,159.13,107.75,51.39,3.325,3.75,0.0323,*
