condition,condition_order,intensity_group,intensity_log_cd_s_m2,n_eyes,mean_b_wave_uv,sd_uv,sem_uv
Control,1,1,-1.7,3,102.22,12.44,7.18
Control,1,2,-0.8,3,190.52,22.96,13.26
Control,1,3,0.1,3,228.49,34.71,20.04
Control,1,4,1.0,3,230.69,29.91,17.27
Control,1,5,1.9,3,238.79,30.65,17.69
Control,1,6,2.8,3,239.34,34.96,20.18
Control,1,7,3.1,3,241.02,36.0,20.78
Untreated,2,1,-1.7,3,0.16,0.28,0.16
Untreated,2,2,-0.8,3,0.43,0.25,0.14
Untreated,2,3,0.1,3,1.2,0.73,0.42
Untreated,2,4,1.0,3,12.75,2.42,1.4
Untreated,2,5,1.9,3,30.32,3.96,2.29
Untreated,2,6,2.8,3,33.79,3.82,2.2
Untreated,2,7,3.1,3,35.26,4.03,2.32
AAV8-RK-PDE6B,3,1,-1.7,3,0.85,0.48,0.28
AAV8-RK-PDE6B,3,2,-0.8,3,0.3,0.3,0.17
AAV8-RK-PDE6B,3,3,0.1,3,1.06,1.1,0.64
AAV8-RK-PDE6B,3,4,1.0,3,44.05,1.8,1.04
AAV8-RK-PDE6B,3,5,1.9,3,61.82,9.49,5.48
AAV8-RK-PDE6B,3,6,2.8,3,59.5,7.2,4.16
AAV8-RK-PDE6B,3,7,3.1,3,60.8,5.22,3.02
AAV8-RK-GFP-polyA-stuffer,4,1,-1.7,3,0.09,0.08,0.04
AAV8-RK-GFP-polyA-stuffer,4,2,-0.8,3,0.0,0.0,0.0
AAV8-RK-GFP-polyA-stuffer,4,3,0.1,3,0.96,0.79,0.45
AAV8-RK-GFP-polyA-stuffer,4,4,1.0,3,10.65,3.92,2.26
AAV8-RK-GFP-polyA-stuffer,4,5,1.9,3,27.19,4.89,2.82
AAV8-RK-GFP-polyA-stuffer,4,6,2.8,3,31.22,3.81,2.2
AAV8-RK-GFP-polyA-stuffer,4,7,3.1,3,29.32,3.18,1.84
AAV8-CMV-GFP,5,1,-1.7,3,0.35,0.23,0.13
AAV8-CMV-GFP,5,2,-0.8,3,0.4,0.69,0.4
AAV8-CMV-GFP,5,3,0.1,3,0.61,0.65,0.37
AAV8-CMV-GFP,5,4,1.0,3,8.75,4.42,2.55
AAV8-CMV-GFP,5,5,1.9,3,23.44,4.16,2.4
AAV8-CMV-GFP,5,6,2.8,3,26.15,4.07,2.35
AAV8-CMV-GFP,5,7,3.1,3,27.37,3.64,2.1
AAV8-RK-PDE6B-3UTR,6,1,-1.7,3,0.11,0.18,0.11
AAV8-RK-PDE6B-3UTR,6,2,-0.8,3,0.41,0.39,0.22
AAV8-RK-PDE6B-3UTR,6,3,0.1,3,4.48,1.69,0.98
AAV8-RK-PDE6B-3UTR,6,4,1.0,3,127.13,13.96,8.06
AAV8-RK-PDE6B-3UTR,6,5,1.9,3,159.13,21.25,12.27
AAV8-RK-PDE6B-3UTR,6,6,2.8,3,161.82,22.3,12.87
AAV8-RK-PDE6B-3UTR,6,7,3.1,3,163.46,23.65,13.66
