condition,condition_order,intensity_group,intensity_log_cd_s_m2,time_ms,voltage_uv
Control,1,1,-1.7,0.0,-46.29
Control,1,1,-1.7,0.2,-40.79
Control,1,1,-1.7,0.4,-33.75
Control,1,1,-1.7,0.6,-25.42
Control,1,1,-1.7,0.8,-16.18
Control,1,1,-1.7,1.0,-6.51
Control,1,1,-1.7,1.2,3.04
Control,1,1,-1.7,1.4,11.93
Control,1,1,-1.7,1.6,19.67
Control,1,1,-1.7,1.8,25.85
Control,1,1,-1.7,2.0,30.2
Control,1,1,-1.7,2.2,17.89
Control,1,1,-1.7,2.4,16.68
Control,1,1,-1.7,2.6,14.57
Control,1,1,-1.7,2.8,11.98
Control,1,1,-1.7,3.0,9.32
Control,1,1,-1.7,3.2,6.99
Control,1,1,-1.7,3.4,5.27
Control,1,1,-1.7,3.6,4.37
Control,1,1,-1.7,3.8,4.32
Control,1,1,-1.7,4.0,5.06
Control,1,1,-1.7,4.2,6.37
Control,1,1,-1.7,4.4,7.97
Control,1,1,-1.7,4.6,9.53
Control,1,1,-1.7,4.8,10.69
Control,1,1,-1.7,5.0,11.16
Control,1,1,-1.7,5.2,10.71
Control,1,1,-1.7,5.4,9.25
Control,1,1,-1.7,5.6,6.77
Control,1,1,-1.7,5.8,3.41
Control,1,1,-1.7,6.0,-0.59
Control,1,1,-1.7,6.2,-4.92
Control,1,1,-1.7,6.4,-9.21
Control,1,1,-1.7,6.6,-13.12
Control,1,1,-1.7,6.8,-16.34
Control,1,1,-1.7,7.0,-18.65
Control,1,1,-1.7,7.2,-19.9
Control,1,1,-1.7,7.4,-20.09
Control,1,1,-1.7,7.6,-19.32
Control,1,1,-1.7,7.8,-17.76
Control,1,1,-1.7,8.0,-15.66
Control,1,1,-1.7,8.2,-13.31
Control,1,1,-1.7,8.4,-10.97
Control,1,1,-1.7,8.6,-8.87
Control,1,1,-1.7,8.8,-7.17
Control,1,1,-1.7,9.0,-5.93
Control,1,1,-1.7,9.2,-5.15
Control,1,1,-1.7,9.4,-4.71
Control,1,1,-1.7,9.6,-4.46
Control,1,1,-1.7,9.8,-4.18
Control,1,1,-1.7,10.0,-3.68
Control,1,1,-1.7,10.2,-2.78
Control,1,1,-1.7,10.4,-1.36
Control,1,1,-1.7,10.6,0.62
Control,1,1,-1.7,10.8,3.12
Control,1,1,-1.7,11.0,6.01
Control,1,1,-1.7,11.2,9.11
Control,1,1,-1.7,11.4,12.17
Control,1,1,-1.7,11.6,14.95
Control,1,1,-1.7,11.8,17.21
Control,1,1,-1.7,12.0,18.77
Control,1,1,-1.7,12.2,19.53
Control,1,1,-1.7,12.4,19.47
Control,1,1,-1.7,12.6,18.66
Control,1,1,-1.7,12.8,17.27
Control,1,1,-1.7,13.0,15.52
Control,1,1,-1.7,13.2,13.67
Control,1,1,-1.7,13.4,11.99
Control,1,1,-1.7,13.6,10.75
Control,1,1,-1.7,13.8,10.11
Control,1,1,-1.7,14.0,10.2
Control,1,1,-1.7,14.2,11.02
Control,1,1,-1.7,14.4,12.52
Control,1,1,-1.7,14.6,14.51
