condition,condition_order,intensity_group,intensity_log_cd_s_m2,time_ms,voltage_uv
Control,1,5,1.9,0.0,-52.57
Control,1,5,1.9,0.2,-38.36
Control,1,5,1.9,0.4,-25.14
Control,1,5,1.9,0.6,-13.51
Control,1,5,1.9,0.8,-3.91
Control,1,5,1.9,1.0,3.39
Control,1,5,1.9,1.2,8.33
Control,1,5,1.9,1.4,11.02
Control,1,5,1.9,1.6,11.78
Control,1,5,1.9,1.8,11.07
Control,1,5,1.9,2.0,9.42
Control,1,5,1.9,2.2,7.38
Control,1,5,1.9,2.4,5.45
Control,1,5,1.9,2.6,4.04
Control,1,5,1.9,2.8,3.39
Control,1,5,1.9,3.0,3.58
Control,1,5,1.9,3.2,4.5
Control,1,5,1.9,3.4,5.92
Control,1,5,1.9,3.6,7.46
Control,1,5,1.9,3.8,8.7
Control,1,5,1.9,4.0,9.23
Control,1,5,1.9,4.2,8.71
Control,1,5,1.9,4.4,6.92
Control,1,5,1.9,4.6,3.79
Control,1,5,1.9,4.8,-0.58
Control,1,5,1.9,5.0,-5.91
Control,1,5,1.9,5.2,-11.78
Control,1,5,1.9,5.4,-17.7
Control,1,5,1.9,5.6,-23.15
Control,1,5,1.9,5.8,-27.62
Control,1,5,1.9,6.0,-30.73
Control,1,5,1.9,6.2,-32.21
Control,1,5,1.9,6.4,-32.01
Control,1,5,1.9,6.6,-30.24
Control,1,5,1.9,6.8,-27.18
Control,1,5,1.9,7.0,-23.27
Control,1,5,1.9,7.2,-19.02
Control,1,5,1.9,7.4,-14.96
Control,1,5,1.9,7.6,-11.59
Control,1,5,1.9,7.8,-9.29
Control,1,5,1.9,8.0,-8.29
Control,1,5,1.9,8.2,-8.65
Control,1,5,1.9,8.4,-10.24
Control,1,5,1.9,8.6,-12.75
Control,1,5,1.9,8.8,-15.77
Control,1,5,1.9,9.0,-18.79
Control,1,5,1.9,9.2,-21.32
Control,1,5,1.9,9.4,-22.92
Control,1,5,1.9,9.6,-23.26
Control,1,5,1.9,9.8,-22.18
Control,1,5,1.9,10.0,-19.72
Control,1,5,1.9,10.2,-16.08
Control,1,5,1.9,10.4,-11.65
Control,1,5,1.9,10.6,-6.93
Control,1,5,1.9,10.8,-2.48
Control,1,5,1.9,11.0,1.15
Control,1,5,1.9,11.2,3.47
Control,1,5,1.9,11.4,4.12
Control,1,5,1.9,11.6,2.91
Control,1,5,1.9,11.8,-0.15
Control,1,5,1.9,12.0,-4.85
Control,1,5,1.9,12.2,-10.81
Control,1,5,1.9,12.4,-17.54
Control,1,5,1.9,12.6,-24.45
Control,1,5,1.9,12.8,-30.94
Control,1,5,1.9,13.0,-36.46
Control,1,5,1.9,13.2,-40.59
Control,1,5,1.9,13.4,-43.03
Control,1,5,1.9,13.6,-43.66
Control,1,5,1.9,13.8,-42.54
Control,1,5,1.9,14.0,-39.87
Control,1,5,1.9,14.2,-35.99
Control,1,5,1.9,14.4,-31.3
Control,1,5,1.9,14.6,-26.23
Control,1,5,1.9,14.8,-21.17
Control,1,5,1.9,15.0,-16.44
Control,1,5,1.9,15.2,-12.24
Control,1,5,1.9,15.4,-8.65
Control,1,5,1.9,15.6,-5.62
Control,1,5,1.9,15.8,-2.99
Control,1,5,1.9,16.0,-0.52
Control,1,5,1.9,16.2,2.07
Control,1,5,1.9,16.4,5.06
Control,1,5,1.9,16.6,8.66
Control,1,5,1.9,16.8,13.02
Control,1,5,1.9,17.0,18.16
Control,1,5,1.9,17.2,23.97
Control,1,5,1.9,17.4,30.24
Control,1,5,1.9,17.6,36.63
Control,1,5,1.9,17.8,42.76
Control,1,5,1.9,18.0,48.19
Control,1,5,1.9,18.2,52.5
Control,1,5,1.9,18.4,55.32
Control,1,5,1.9,18.6,56.38
Control,1,5,1.9,18.8,55.5
Control,1,5,1.9,19.0,52.68
Control,1,5,1.9,19.2,48.02
Control,1,5,1.9,19.4,41.78
Control,1,5,1.9,19.6,34.33
Control,1,5,1.9,19.8,26.11
Control,1,5,1.9,20.0,17.62
Control,1,5,1.9,20.2,9.4
Control,1,5,1.9,20.4,1.92
Control,1,5,1.9,20.6,-4.38
Control,1,5,1.9,20.8,-9.13
Control,1,5,1.9,21.0,-12.1
Control,1,5,1.9,21.2,-13.18
Control,1,5,1.9,21.4,-12.35
Control,1,5,1.9,21.6,-9.76
Control,1,5,1.9,21.8,-5.65
Control,1,5,1.9,22.0,-0.35
Control,1,5,1.9,22.2,5.71
Control,1,5,1.9,22.4,12.08
Control,1,5,1.9,22.6,18.26
Control,1,5,1.9,22.8,23.8
Control,1,5,1.9,23.0,28.27
Control,1,5,1.9,23.2,31.32
Control,1,5,1.9,23.4,32.7
Control,1,5,1.9,23.6,32.26
Control,1,5,1.9,23.8,29.99
Control,1,5,1.9,24.0,26.01
Control,1,5,1.9,24.2,20.57
Control,1,5,1.9,24.4,14.0
Control,1,5,1.9,24.6,6.73
Control,1,5,1.9,24.8,-0.76
Control,1,5,1.9,25.0,-8.01
Control,1,5,1.9,25.2,-14.57
Control,1,5,1.9,25.4,-20.06
Control,1,5,1.9,25.6,-24.19
Control,1,5,1.9,25.8,-26.82
Control,1,5,1.9,26.0,-27.92
Control,1,5,1.9,26.2,-27.59
Control,1,5,1.9,26.4,-26.04
Control,1,5,1.9,26.6,-23.57
Control,1,5,1.9,26.8,-20.53
Control,1,5,1.9,27.0,-17.26
Control,1,5,1.9,27.2,-14.08
Control,1,5,1.9,27.4,-11.23
Control,1,5,1.9,27.6,-8.85
Control,1,5,1.9,27.8,-6.96
Control,1,5,1.9,28.0,-5.47
Control,1,5,1.9,28.2,-4.22
Control,1,5,1.9,28.4,-2.94
Control,1,5,1.9,28.6,-1.36
Control,1,5,1.9,28.8,0.77
Control,1,5,1.9,29.0,3.64
Control,1,5,1.9,29.2,7.36
Control,1,5,1.9,29.4,11.87
Control,1,5,1.9,29.6,17.01
Control,1,5,1.9,29.8,22.45
Control,1,5,1.9,30.0,27.79
Control,1,5,1.9,30.2,32.54
Control,1,5,1.9,30.4,36.21
Control,1,5,1.9,30.6,38.34
Control,1,5,1.9,30.8,38.57
Control,1,5,1.9,31.0,36.72
Control,1,5,1.9,31.2,32.76
Control,1,5,1.9,31.4,26.87
Control,1,5,1.9,31.6,19.41
Control,1,5,1.9,31.8,10.92
Control,1,5,1.9,32.0,2.03
Control,1,5,1.9,32.2,-6.56
Control,1,5,1.9,32.4,-14.19
Control,1,5,1.9,32.6,-20.26
Control,1,5,1.9,32.8,-24.34
Control,1,5,1.9,33.0,-26.19
Control,1,5,1.9,33.2,-25.78
Control,1,5,1.9,33.4,-23.29
Control,1,5,1.9,33.6,-19.09
Control,1,5,1.9,33.8,-13.72
Control,1,5,1.9,34.0,-7.77
Control,1,5,1.9,34.2,-1.88
Control,1,5,1.9,34.4,3.4
Control,1,5,1.9,34.6,7.61
Control,1,5,1.9,34.8,10.48
Control,1,5,1.9,35.0,11.91
Control,1,5,1.9,35.2,12.01
Control,1,5,1.9,35.4,11.08
Control,1,5,1.9,35.6,9.55
Control,1,5,1.9,35.8,7.93
Control,1,5,1.9,36.0,6.77
Control,1,5,1.9,36.2,6.54
Control,1,5,1.9,36.4,7.62
Control,1,5,1.9,36.6,10.24
Control,1,5,1.9,36.8,14.44
Control,1,5,1.9,37.0,20.07
Control,1,5,1.9,37.2,26.81
Control,1,5,1.9,37.4,34.21
Control,1,5,1.9,37.6,41.72
Control,1,5,1.9,37.8,48.76
Control,1,5,1.9,38.0,54.81
Control,1,5,1.9,38.2,59.41
Control,1,5,1.9,38.4,62.26
Control,1,5,1.9,38.6,63.19
Control,1,5,1.9,38.8,62.24
Control,1,5,1.9,39.0,59.58
Control,1,5,1.9,39.2,55.52
Control,1,5,1.9,39.4,50.47
Control,1,5,1.9,39.6,44.88
Control,1,5,1.9,39.8,39.21
Control,1,5,1.9,40.0,33.85
Control,1,5,1.9,40.2,29.12
Control,1,5,1.9,40.4,25.23
Control,1,5,1.9,40.6,22.27
Control,1,5,1.9,40.8,20.24
Control,1,5,1.9,41.0,19.02
Control,1,5,1.9,41.2,18.46
Control,1,5,1.9,41.4,18.35
Control,1,5,1.9,41.6,18.5
Control,1,5,1.9,41.8,18.76
Control,1,5,1.9,42.0,18.99
Control,1,5,1.9,42.2,19.14
Control,1,5,1.9,42.4,19.22
Control,1,5,1.9,42.6,19.27
Control,1,5,1.9,42.8,19.37
Control,1,5,1.9,43.0,19.61
Control,1,5,1.9,43.2,20.06
Control,1,5,1.9,43.4,20.77
Control,1,5,1.9,43.6,21.73
Control,1,5,1.9,43.8,22.9
Control,1,5,1.9,44.0,24.15
Control,1,5,1.9,44.2,25.37
Control,1,5,1.9,44.4,26.39
Control,1,5,1.9,44.6,27.06
Control,1,5,1.9,44.8,27.24
Control,1,5,1.9,45.0,26.85
Control,1,5,1.9,45.2,25.86
Control,1,5,1.9,45.4,24.31
Control,1,5,1.9,45.6,22.32
Control,1,5,1.9,45.8,20.03
Control,1,5,1.9,46.0,17.67
Control,1,5,1.9,46.2,15.45
Control,1,5,1.9,46.4,13.63
Control,1,5,1.9,46.6,12.41
Control,1,5,1.9,46.8,11.96
Control,1,5,1.9,47.0,12.42
Control,1,5,1.9,47.2,13.85
Control,1,5,1.9,47.4,16.25
Control,1,5,1.9,47.6,19.56
Control,1,5,1.9,47.8,23.68
Control,1,5,1.9,48.0,28.45
Control,1,5,1.9,48.2,33.7
Control,1,5,1.9,48.4,39.23
Control,1,5,1.9,48.6,44.85
Control,1,5,1.9,48.8,50.34
Control,1,5,1.9,49.0,55.52
Control,1,5,1.9,49.2,60.18
Control,1,5,1.9,49.4,64.13
Control,1,5,1.9,49.6,67.21
Control,1,5,1.9,49.8,69.25
Control,1,5,1.9,50.0,70.1
Control,1,5,1.9,50.2,69.64
Control,1,5,1.9,50.4,67.79
Control,1,5,1.9,50.6,64.5
Control,1,5,1.9,50.8,59.81
Control,1,5,1.9,51.0,53.8
Control,1,5,1.9,51.2,46.63
Control,1,5,1.9,51.4,38.55
Control,1,5,1.9,51.6,29.87
Control,1,5,1.9,51.8,20.94
Control,1,5,1.9,52.0,12.15
Control,1,5,1.9,52.2,3.92
Control,1,5,1.9,52.4,-3.4
Control,1,5,1.9,52.6,-9.46
Control,1,5,1.9,52.8,-14.04
Control,1,5,1.9,53.0,-16.97
Control,1,5,1.9,53.2,-18.22
Control,1,5,1.9,53.4,-17.88
Control,1,5,1.9,53.6,-16.13
Control,1,5,1.9,53.8,-13.26
Control,1,5,1.9,54.0,-9.63
Control,1,5,1.9,54.2,-5.63
Control,1,5,1.9,54.4,-1.66
Control,1,5,1.9,54.6,1.9
Control,1,5,1.9,54.8,4.71
Control,1,5,1.9,55.0,6.51
Control,1,5,1.9,55.2,7.13
Control,1,5,1.9,55.4,6.46
Control,1,5,1.9,55.6,4.49
Control,1,5,1.9,55.8,1.3
Control,1,5,1.9,56.0,-3.02
Control,1,5,1.9,56.2,-8.3
Control,1,5,1.9,56.4,-14.37
Control,1,5,1.9,56.6,-21.08
Control,1,5,1.9,56.8,-28.24
Control,1,5,1.9,57.0,-35.73
Control,1,5,1.9,57.2,-43.43
Control,1,5,1.9,57.4,-51.24
Control,1,5,1.9,57.6,-59.07
Control,1,5,1.9,57.8,-66.88
Control,1,5,1.9,58.0,-74.6
Control,1,5,1.9,58.2,-82.17
Control,1,5,1.9,58.4,-89.57
Control,1,5,1.9,58.6,-96.73
Control,1,5,1.9,58.8,-103.64
Control,1,5,1.9,59.0,-110.26
Control,1,5,1.9,59.2,-116.6
Control,1,5,1.9,59.4,-122.67
Control,1,5,1.9,59.6,-128.51
Control,1,5,1.9,59.8,-134.19
Control,1,5,1.9,60.0,-139.77
Control,1,5,1.9,60.2,-145.33
Control,1,5,1.9,60.4,-150.92
Control,1,5,1.9,60.6,-156.58
Control,1,5,1.9,60.8,-162.33
Control,1,5,1.9,61.0,-168.12
Control,1,5,1.9,61.2,-173.87
Control,1,5,1.9,61.4,-179.48
Control,1,5,1.9,61.6,-184.77
Control,1,5,1.9,61.8,-189.6
Control,1,5,1.9,62.0,-193.81
Control,1,5,1.9,62.2,-197.27
Control,1,5,1.9,62.4,-199.89
Control,1,5,1.9,62.6,-201.65
Control,1,5,1.9,62.8,-202.62
Control,1,5,1.9,63.0,-202.91
Control,1,5,1.9,63.2,-202.72
Control,1,5,1.9,63.4,-202.28
Control,1,5,1.9,63.6,-201.87
Control,1,5,1.9,63.8,-201.74
Control,1,5,1.9,64.0,-202.13
Control,1,5,1.9,64.2,-203.21
Control,1,5,1.9,64.4,-205.07
Control,1,5,1.9,64.6,-207.72
Control,1,5,1.9,64.8,-211.08
Control,1,5,1.9,65.0,-214.98
Control,1,5,1.9,65.2,-219.19
Control,1,5,1.9,65.4,-223.47
Control,1,5,1.9,65.6,-227.54
Control,1,5,1.9,65.8,-231.17
Control,1,5,1.9,66.0,-234.18
Control,1,5,1.9,66.2,-236.45
Control,1,5,1.9,66.4,-237.95
Control,1,5,1.9,66.6,-238.71
Control,1,5,1.9,66.8,-238.84
Control,1,5,1.9,67.0,-238.47
